21,0 21.473.120 12 1.789.426,0 575.872,0 212.736 8.932.128 2.603.695,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
18,0 21.478.208 12 1.789.850,0 575.232,0 209.600 8.926.176 2.603.813,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.463.072 12 1.788.589,0 569.232,0 208.672 8.933.792 2.603.104,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.434.976 12 1.786.248,0 568.096,0 209.504 8.933.440 2.604.990,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.426.208 12 1.785.517,0 568.544,0 209.824 8.921.504 2.602.293,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.460.576 12 1.788.381,0 568.576,0 208.704 8.921.824 2.602.124,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.465.024 12 1.788.752,0 571.680,0 208.224 8.928.256 2.602.551,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.438.496 12 1.786.541,0 573.552,0 212.384 8.931.264 2.602.242,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.408.704 12 1.784.058,0 564.848,0 210.880 8.928.768 2.602.592,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.454.112 12 1.787.842,0 563.248,0 209.056 8.942.784 2.608.847,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.399.808 12 1.783.317,0 568.704,0 209.632 8.931.520 2.602.469,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 24.783.680 12 2.065.306,0 578.672,0 210.304 8.924.000 2.887.684,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
