47,0 1.052.250.976 1.023 1.028.593,0 819.552,0 790.944 1.832.256 348.773,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.025.811.136 1.023 1.002.747,0 883.360,0 789.728 1.849.568 307.225,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.009.690.144 1.023 986.989,0 823.968,0 791.072 1.834.592 287.781,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 1.332.945.472 1.023 1.302.977,0 1.594.432,0 789.440 1.886.944 442.297,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.080.713.600 1.023 1.056.416,0 932.416,0 787.648 1.726.528 297.412,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 898.869.760 1.023 878.660,0 827.776,0 795.392 1.858.272 132.923,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.093.871.296 1.023 1.069.277,0 976.608,0 793.120 1.834.720 279.444,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.057.696.224 1.023 1.033.916,0 820.544,0 788.576 1.841.024 359.083,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.049.794.080 1.023 1.026.191,0 817.984,0 792.640 1.867.424 360.363,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.026.316.512 1.023 1.003.241,0 819.136,0 785.504 1.786.208 310.321,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.025.803.776 1.023 1.002.740,0 818.720,0 791.104 1.836.192 340.859,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.271.242.240 1.023 1.242.661,0 1.034.400,0 786.400 1.836.576 379.613,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.243.033.504 1.023 1.215.086,0 962.048,0 788.000 1.857.600 449.691,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.661.817.920 1.023 1.624.455,0 1.628.576,0 1.002.784 1.833.504 151.537,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.298.730.592 1.023 1.269.531,0 1.088.512,0 818.720 1.835.456 355.574,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.104.905.184 1.023 1.080.063,0 976.288,0 801.120 1.847.072 328.628,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.032.508.480 1.023 1.009.294,0 819.104,0 793.632 1.831.808 343.828,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.255.246.400 1.023 1.227.024,0 982.240,0 943.808 1.806.272 348.730,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.635.337.088 1.023 1.598.570,0 1.625.952,0 964.096 1.830.336 183.341,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.076.959.552 1.023 1.052.746,0 818.944,0 789.184 1.828.320 373.968,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.012.804.512 1.023 990.033,0 818.816,0 790.752 1.797.888 300.164,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.112.320.864 1.023 1.087.312,0 819.840,0 789.440 1.829.216 396.590,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.034.639.712 1.023 1.011.378,0 869.344,0 798.048 1.875.168 277.926,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 988.655.232 1.023 966.427,0 820.160,0 783.968 1.901.664 298.330,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 992.143.328 1.023 969.837,0 832.256,0 798.912 1.825.216 272.458,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.132.591.200 1.023 1.107.127,0 820.000,0 789.056 1.825.952 403.829,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.058.777.472 1.023 1.034.973,0 910.784,0 788.288 1.909.440 261.326,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.393.944.224 1.023 1.362.604,0 1.612.352,0 788.768 1.832.864 405.723,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 974.381.792 1.023 952.474,0 875.232,0 806.624 1.831.232 201.263,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.207.259.968 1.023 1.180.117,0 981.536,0 798.816 1.883.744 367.382,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.072.753.728 1.023 1.048.635,0 861.216,0 790.496 1.825.952 323.315,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 981.616.416 1.023 959.546,0 875.360,0 789.408 1.941.504 259.812,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 999.832.896 1.023 977.353,0 819.392,0 788.736 1.725.376 302.457,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.035.158.336 1.023 1.011.885,0 881.184,0 789.152 1.804.320 308.411,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 965.289.920 1.023 943.587,0 820.256,0 790.656 1.899.296 248.293,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.041.270.368 1.023 1.017.859,0 819.104,0 791.040 1.832.992 349.022,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.015.749.344 1.023 992.912,0 824.096,0 787.264 1.966.528 307.220,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.140.635.328 1.023 1.114.990,0 995.328,0 801.504 1.976.352 291.933,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.009.327.040 1.023 986.634,0 822.368,0 789.376 1.801.280 287.718,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.005.033.824 1.023 982.437,0 854.176,0 801.696 1.825.952 277.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 912.397.120 1.023 891.883,0 819.808,0 790.944 1.798.336 214.184,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.030.076.032 1.023 1.006.916,0 819.680,0 792.896 1.838.048 328.162,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.057.234.624 1.023 1.033.464,0 976.864,0 787.872 1.874.592 289.387,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.604.984.480 1.023 1.568.899,0 1.622.240,0 895.584 1.812.768 239.075,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.099.135.840 1.023 1.074.424,0 899.584,0 789.856 1.832.096 360.263,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.039.194.432 1.023 1.015.830,0 832.896,0 798.880 1.795.680 311.812,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.054.423.104 1.023 1.030.716,0 904.192,0 788.800 1.830.016 321.807,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.057.797.632 1.023 1.034.015,0 818.976,0 789.696 1.818.624 359.940,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.002.181.312 1.023 979.649,0 817.984,0 792.192 1.831.968 305.500,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.005.715.456 1.023 983.104,0 818.880,0 790.592 1.733.824 288.514,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.106.223.648 1.023 1.081.352,0 928.448,0 787.072 1.821.120 345.341,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.026.505.344 1.023 1.003.426,0 819.648,0 788.992 1.831.872 331.690,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.011.527.168 1.023 988.785,0 851.360,0 790.560 1.881.312 295.357,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.085.413.824 1.023 1.061.010,0 823.328,0 789.408 1.834.176 355.824,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 990.164.832 1.023 967.903,0 818.912,0 789.312 1.699.040 275.490,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 955.668.416 1.023 934.182,0 870.144,0 790.176 1.865.376 173.446,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.008.212.832 1.023 985.545,0 819.136,0 791.104 1.807.744 297.228,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.007.466.880 1.023 984.816,0 972.160,0 787.552 1.835.072 241.723,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.001.367.456 1.023 978.853,0 819.200,0 789.088 1.840.768 318.157,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.301.466.016 1.023 1.272.205,0 1.116.864,0 784.320 1.759.520 398.904,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.046.676.256 1.023 1.023.143,0 819.840,0 792.128 1.845.312 337.566,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 969.185.024 1.023 947.394,0 819.808,0 788.160 1.841.056 273.511,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.076.004.896 1.023 1.051.813,0 959.488,0 786.048 1.843.872 337.366,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 867.738.048 1.023 848.228,0 820.352,0 789.888 1.088.704 58.926,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.040.044.832 1.023 1.016.661,0 819.040,0 788.960 1.898.784 345.744,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.001.683.392 1.023 979.162,0 818.336,0 790.944 1.822.240 301.753,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.013.906.816 1.023 991.111,0 822.880,0 788.928 1.840.896 305.927,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.302.882.816 1.023 1.273.590,0 999.680,0 952.832 1.836.736 356.317,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
