0,0 117.440 3 39.146,0 38.880,0 36.960 41.600 2.331,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.864 3 36.288,0 35.904,0 34.528 38.432 1.980,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.696 3 36.565,0 35.840,0 34.912 38.944 2.111,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.536 3 36.512,0 36.032,0 34.720 38.784 2.074,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.856 3 36.618,0 36.064,0 34.368 39.424 2.573,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.992 3 36.330,0 35.904,0 34.624 38.464 1.955,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.352 3 36.117,0 35.392,0 34.624 38.336 1.959,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 121.184 3 40.394,0 39.488,0 39.296 42.400 1.739,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.376 3 36.458,0 36.096,0 35.136 38.144 1.536,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 116.736 3 38.912,0 38.304,0 37.312 41.120 1.975,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.720 3 38.240,0 37.568,0 36.224 40.928 2.422,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.368 3 36.789,0 36.320,0 35.552 38.496 1.527,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.312 3 36.437,0 35.808,0 34.400 39.104 2.414,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.576 3 36.192,0 35.872,0 34.400 38.304 1.971,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 122.624 3 40.874,0 40.352,0 38.560 43.712 2.615,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.848 3 38.282,0 37.024,0 36.032 41.792 3.079,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.408 3 36.469,0 35.872,0 35.200 38.336 1.651,0 CUDA_KERNEL lud_perimeter(float *, int, int)
