0,0 130.176 4 32.544,0 31.472,0 31.168 36.064 2.351,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 132.256 4 33.064,0 32.080,0 31.840 36.256 2.131,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.344 4 32.336,0 31.536,0 31.136 35.136 1.881,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.464 4 32.616,0 31.616,0 31.168 36.064 2.337,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 145.600 4 36.400,0 35.408,0 34.528 40.256 2.604,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 132.128 4 33.032,0 32.096,0 31.872 36.064 2.024,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 137.248 4 34.312,0 33.072,0 32.704 38.400 2.736,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 145.920 4 36.480,0 35.232,0 34.720 40.736 2.878,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.056 4 32.264,0 31.296,0 31.136 35.328 2.046,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.208 4 32.552,0 31.600,0 31.168 35.840 2.229,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.304 4 32.576,0 31.776,0 31.136 35.616 2.065,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.368 4 32.592,0 31.888,0 31.168 35.424 1.928,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.496 4 32.624,0 31.584,0 31.168 36.160 2.382,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.464 4 32.616,0 32.000,0 31.200 35.264 1.805,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.648 4 32.912,0 32.128,0 31.200 36.192 2.230,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 135.424 4 33.856,0 32.832,0 32.736 37.024 2.112,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.640 4 34.160,0 33.296,0 32.736 37.312 2.151,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.976 4 32.744,0 31.920,0 31.136 36.000 2.201,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.472 4 32.368,0 31.616,0 31.168 35.072 1.841,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.368 4 32.592,0 31.600,0 31.136 36.032 2.308,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.784 4 32.696,0 31.664,0 31.136 36.320 2.458,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.560 4 32.640,0 31.920,0 31.168 35.552 1.973,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.048 4 32.512,0 31.472,0 31.296 35.808 2.198,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 146.848 4 36.712,0 35.632,0 34.848 40.736 2.708,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.400 4 32.600,0 31.632,0 31.168 35.968 2.283,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.912 4 32.728,0 32.224,0 31.104 35.360 1.837,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 141.632 4 35.408,0 34.400,0 33.600 39.232 2.577,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 132.224 4 33.056,0 32.016,0 31.872 36.320 2.177,0 CUDA_KERNEL lud_diagonal(float *, int, int)
