      1,0        1.964.128          1   1.964.128,0  1.964.128,0  1.964.128    1.964.128           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          413.984          1     413.984,0    413.984,0    413.984      413.984           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        2.098.016          1   2.098.016,0  2.098.016,0  2.098.016    2.098.016           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          706.912          1     706.912,0    706.912,0    706.912      706.912           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.944.992          1   1.944.992,0  1.944.992,0  1.944.992    1.944.992           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          401.472          1     401.472,0    401.472,0    401.472      401.472           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        2.079.872          1   2.079.872,0  2.079.872,0  2.079.872    2.079.872           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          463.328          1     463.328,0    463.328,0    463.328      463.328           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.975.776          1   1.975.776,0  1.975.776,0  1.975.776    1.975.776           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          402.336          1     402.336,0    402.336,0    402.336      402.336           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.967.072          1   1.967.072,0  1.967.072,0  1.967.072    1.967.072           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          381.952          1     381.952,0    381.952,0    381.952      381.952           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
