     42,0       34.657.696        100     346.577,0     312.112,0     308.928   2.026.880    206.444,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       73.851.392        100     738.513,0     737.472,0     678.880     786.240     21.053,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       31.320.800        100     313.208,0     312.528,0     309.856     376.416      6.489,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     42,0       70.116.608        100     701.166,0     700.880,0     686.432     724.640      5.182,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       73.096.928        100     730.969,0     729.856,0     700.672     781.888     12.582,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     38,0       31.157.984        100     311.579,0     310.912,0     308.896     357.920      4.882,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     39,0       34.451.392        100     344.513,0     343.792,0     340.704     408.960      6.708,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       31.030.464        100     310.304,0     309.648,0     307.360     372.320      6.353,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     39,0       39.371.328        100     393.713,0     394.544,0     357.504     445.024      8.814,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     38,0       39.532.608        100     395.326,0     394.608,0     392.736     446.656      5.373,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     43,0       62.375.456        100     623.754,0     718.560,0     354.176     767.584    163.475,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       68.954.400        100     689.544,0     739.152,0     394.400   3.622.624    329.624,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
