     15,0      809.147.648      3.900  207.473,0  210.272,0   177.088    330.144     15.783,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      697.996.544      3.900  178.973,0  176.896,0   173.248    225.440      5.536,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      984.406.144      3.900  252.411,0  226.336,0   173.376    419.808     58.321,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      955.253.888      3.900  244.936,0  223.696,0   172.992    420.768     55.576,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      927.741.280      3.900  237.882,0  221.472,0   172.960    421.792     58.315,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      789.986.720      3.900  202.560,0  209.696,0   175.904    239.040     15.090,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      698.530.848      3.900  179.110,0  177.024,0   173.312    218.336      5.534,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      904.260.032      3.900  231.861,0  218.240,0   173.056    418.496     50.305,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     37,0      699.667.232      3.900  179.401,0  177.120,0   172.832    228.480      5.646,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     30,0      701.931.744      3.900  179.982,0  177.216,0   173.824     236.160      6.208,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     16,0      713.841.696      3.900  183.036,0  180.256,0   176.480    879.200     16.865,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      897.684.384      3.900  230.175,0  212.000,0   173.184     414.368     52.174,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      951.678.144      3.900  244.020,0  225.712,0   176.000    417.952     59.792,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      697.795.712      3.900  178.922,0  176.832,0   173.088    218.080      5.503,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     16,0      715.307.296      3.900  183.412,0  181.216,0   176.704    258.176      5.778,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     16,0      716.034.400      3.900  183.598,0  180.192,0   176.032    307.200     11.059,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      847.837.760      3.900  217.394,0  201.008,0   172.960     417.632     50.580,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      787.411.360      3.900  201.900,0  209.376,0   176.704    239.616     15.184,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     24,0      863.127.232      3.900  221.314,0  207.584,0   175.936    423.360     52.080,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      698.671.936      3.900  179.146,0  176.992,0   172.928    222.560      5.615,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     22,0      841.921.056      3.900  215.877,0  180.576,0   175.648    407.072     62.500,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      904.073.344      3.900  231.813,0  212.160,0   172.992    413.088     54.658,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      884.062.784      3.900  226.682,0  211.616,0   173.088    421.504     51.818,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      986.355.136      3.900  252.911,0  226.624,0   172.992    419.968     60.951,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     30,0      927.656.864      3.900  237.860,0  216.064,0   175.712    417.792     57.960,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     15,0      772.432.800      3.900  198.059,0  188.448,0   176.000    244.928     17.651,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     16,0      815.172.384      3.900  209.018,0  212.064,0   176.960  1.539.552     25.942,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      700.732.480      3.900  179.675,0  177.152,0   172.768    224.640      5.817,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
