3,0 9.342.016 2 4.671.008,0 4.671.008,0 1.859.616 7.482.400 3.975.908,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.288.480 2 4.644.240,0 4.644.240,0 1.857.184 7.431.296 3.941.492,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.387.104 2 3.693.552,0 3.693.552,0 1.868.192 5.518.912 2.581.448,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.636.544 2 3.818.272,0 3.818.272,0 1.855.264 5.781.280 2.776.112,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.334.816 2 4.667.408,0 4.667.408,0 1.872.576 7.462.240 3.952.489,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.331.840 2 4.665.920,0 4.665.920,0 1.864.448 7.467.392 3.961.879,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.297.760 2 4.648.880,0 4.648.880,0 1.854.080 7.443.680 3.952.444,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.338.912 2 4.669.456,0 4.669.456,0 1.848.320 7.490.592 3.989.688,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.320.768 2 4.660.384,0 4.660.384,0 1.863.616 7.457.152 3.955.227,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.345.600 2 4.672.800,0 4.672.800,0 1.859.040 7.486.560 3.979.257,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.306.240 2 4.653.120,0 4.653.120,0 1.862.240 7.444.000 3.946.900,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.326.592 2 4.663.296,0 4.663.296,0 1.864.768 7.461.824 3.957.716,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.320.640 2 4.660.320,0 4.660.320,0 1.867.392 7.453.248 3.949.796,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.313.856 2 4.656.928,0 4.656.928,0 1.859.584 7.454.272 3.956.041,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.324.864 2 4.662.432,0 4.662.432,0 1.865.280 7.459.584 3.955.770,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.318.944 2 4.659.472,0 4.659.472,0 1.868.192 7.450.752 3.947.466,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.309.856 2 4.654.928,0 4.654.928,0 1.859.360 7.450.496 3.953.530,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.325.472 2 4.662.736,0 4.662.736,0 1.863.968 7.461.504 3.958.055,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.322.304 2 4.661.152,0 4.661.152,0 1.859.840 7.462.464 3.961.653,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
8,0 14.938.752 2 7.469.376,0 7.469.376,0 7.461.088 7.477.664 11.721,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.302.560 2 4.651.280,0 4.651.280,0 1.864.704 7.437.856 3.940.813,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.302.752 2 4.651.376,0 4.651.376,0 1.857.216 7.445.536 3.951.539,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.325.280 2 4.662.640,0 4.662.640,0 1.864.224 7.461.056 3.957.557,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.311.968 2 4.655.984,0 4.655.984,0 1.862.240 7.449.728 3.950.950,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.388.480 2 3.694.240,0 3.694.240,0 1.860.256 5.528.224 2.593.645,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.310.080 2 4.655.040,0 4.655.040,0 1.866.784 7.443.296 3.943.189,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 9.308.416 2 4.654.208,0 4.654.208,0 1.859.840 7.448.576 3.951.833,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.336.384 2 4.668.192,0 4.668.192,0 1.856.640 7.479.744 3.976.135,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.312.544 2 4.656.272,0 4.656.272,0 1.857.888 7.454.656 3.957.512,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.307.808 2 4.653.904,0 4.653.904,0 1.855.040 7.452.768 3.958.191,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.368.448 2 3.684.224,0 3.684.224,0 1.856.000 5.512.448 2.585.499,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.356.992 2 4.678.496,0 4.678.496,0 1.863.904 7.493.088 3.980.434,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.363.264 2 3.681.632,0 3.681.632,0 1.851.488 5.511.776 2.588.214,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
11,0 14.753.280 2 7.376.640,0 7.376.640,0 7.295.552 7.457.728 114.675,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.371.776 2 3.685.888,0 3.685.888,0 1.860.096 5.511.680 2.582.059,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.302.048 2 4.651.024,0 4.651.024,0 1.860.288 7.441.760 3.946.696,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.387.712 2 3.693.856,0 3.693.856,0 1.869.120 5.518.592 2.580.566,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.293.504 2 4.646.752,0 4.646.752,0 1.854.848 7.438.656 3.948.348,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.322.720 2 4.661.360,0 4.661.360,0 1.857.984 7.464.736 3.964.572,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.367.968 2 3.683.984,0 3.683.984,0 1.855.040 5.512.928 2.586.517,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
6,0 9.297.312 2 4.648.656,0 4.648.656,0 1.872.032 7.425.280 3.926.739,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.388.576 2 3.694.288,0 3.694.288,0 1.861.376 5.527.200 2.592.129,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.385.088 2 3.692.544,0 3.692.544,0 1.863.456 5.521.632 2.586.721,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.282.464 2 4.641.232,0 4.641.232,0 1.858.240 7.424.224 3.935.745,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.369.376 2 3.684.688,0 3.684.688,0 1.856.160 5.513.216 2.585.929,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.403.904 2 3.701.952,0 3.701.952,0 1.875.552 5.528.352 2.582.919,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.279.520 2 4.639.760,0 4.639.760,0 1.860.064 7.419.456 3.931.083,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.326.368 2 4.663.184,0 4.663.184,0 1.855.200 7.471.168 3.971.089,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.378.240 2 3.689.120,0 3.689.120,0 1.862.464 5.515.776 2.583.281,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.330.400 2 4.665.200,0 4.665.200,0 1.866.240 7.464.160 3.958.327,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.300.800 2 4.650.400,0 4.650.400,0 1.851.776 7.449.024 3.957.852,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.323.200 2 4.661.600,0 4.661.600,0 1.863.104 7.460.096 3.957.671,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.312.928 2 4.656.464,0 4.656.464,0 1.854.784 7.458.144 3.962.173,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.298.304 2 4.649.152,0 4.649.152,0 1.853.856 7.444.448 3.953.145,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.334.592 2 4.667.296,0 4.667.296,0 1.852.320 7.482.272 3.980.977,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.333.632 2 4.666.816,0 4.666.816,0 1.857.056 7.476.576 3.973.600,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.314.624 2 4.657.312,0 4.657.312,0 1.859.168 7.455.456 3.957.173,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 7.390.880 2 3.695.440,0 3.695.440,0 1.864.992 5.525.888 2.588.644,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
