5,0 144.544 4 36.136,0 34.096,0 33.952 42.400 4.177,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 258.112 4 64.528,0 62.832,0 62.112 70.336 3.889,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.888 4 64.472,0 62.592,0 62.080 70.624 4.124,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 147.232 4 36.808,0 34.896,0 34.368 43.072 4.192,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.216 4 64.304,0 62.320,0 62.016 70.560 4.173,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.840 4 36.960,0 35.088,0 34.624 43.040 4.070,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 138.112 4 34.528,0 32.688,0 32.224 40.512 4.010,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.088 4 64.272,0 62.528,0 62.208 69.824 3.705,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 149.024 4 37.256,0 35.504,0 34.944 43.072 3.891,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 139.264 4 34.816,0 33.040,0 32.704 40.480 3.784,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 153.536 4 38.384,0 36.176,0 36.000 45.184 4.535,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 146.464 4 36.616,0 34.560,0 34.208 43.136 4.350,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 148.864 4 37.216,0 35.504,0 34.816 43.040 3.897,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.744 4 36.936,0 35.296,0 34.336 42.816 3.947,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 147.008 4 36.752,0 34.608,0 34.368 43.424 4.452,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 154.432 4 38.608,0 36.816,0 35.872 44.928 4.244,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 149.632 4 37.408,0 35.600,0 34.944 43.488 4.066,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.408 4 34.352,0 32.608,0 32.192 40.000 3.783,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 146.848 4 36.712,0 34.480,0 34.304 43.584 4.583,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.312 4 64.328,0 62.320,0 62.048 70.624 4.199,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.216 4 34.304,0 32.560,0 32.384 39.712 3.607,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.536 4 64.384,0 62.448,0 62.080 70.560 4.128,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 146.432 4 36.608,0 34.464,0 34.336 43.168 4.374,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 152.704 4 38.176,0 35.968,0 35.936 44.832 4.437,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 140.352 4 35.088,0 33.232,0 33.056 40.832 3.830,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 140.000 4 35.000,0 33.296,0 32.992 40.416 3.615,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 258.144 4 64.536,0 63.024,0 62.208 69.888 3.589,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.520 4 36.880,0 34.864,0 34.400 43.392 4.361,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.656 4 34.664,0 33.040,0 32.224 40.352 3.811,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 153.280 4 38.320,0 36.272,0 35.808 44.928 4.413,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 148.096 4 37.024,0 35.296,0 34.496 43.008 4.010,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.472 4 64.368,0 62.320,0 62.176 70.656 4.192,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 145.728 4 36.432,0 34.256,0 33.952 43.264 4.561,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 138.080 4 34.520,0 33.280,0 32.192 39.328 3.247,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 140.160 4 35.040,0 33.520,0 33.056 40.064 3.356,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 258.080 4 64.520,0 62.688,0 62.048 70.656 4.104,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.184 4 64.296,0 62.304,0 62.176 70.400 4.070,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.984 4 64.496,0 62.368,0 62.176 71.072 4.385,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 140.128 4 35.032,0 33.232,0 33.184 40.480 3.632,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.576 4 64.144,0 62.208,0 61.952 70.208 4.045,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.200 4 36.800,0 34.816,0 34.368 43.200 4.283,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 154.784 4 38.696,0 36.800,0 36.032 45.152 4.319,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 137.216 4 34.304,0 32.480,0 32.352 39.904 3.734,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 146.784 4 36.696,0 34.736,0 33.920 43.392 4.482,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 137.248 4 34.312,0 32.704,0 32.224 39.616 3.551,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.752 4 34.688,0 33.104,0 32.512 40.032 3.575,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.640 4 64.160,0 62.320,0 62.048 69.952 3.866,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 266.912 4 66.728,0 64.464,0 63.904 74.080 4.908,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.152 4 64.288,0 62.544,0 62.016 70.048 3.851,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 139.744 4 34.936,0 33.232,0 32.576 40.704 3.859,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 136.576 4 34.144,0 32.656,0 32.192 39.072 3.311,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.720 4 64.680,0 62.944,0 62.528 70.304 3.755,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 138.400 4 34.600,0 32.912,0 32.352 40.224 3.758,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 148.064 4 37.016,0 35.008,0 34.272 43.776 4.534,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 138.592 4 34.648,0 32.880,0 32.480 40.352 3.812,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 146.272 4 36.568,0 34.448,0 34.304 43.072 4.338,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 258.112 4 64.528,0 62.624,0 62.368 70.496 3.982,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.480 4 64.120,0 62.304,0 61.952 69.920 3.879,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 146.944 4 36.736,0 34.464,0 34.336 43.680 4.630,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 148.160 4 37.040,0 34.576,0 34.432 44.576 5.024,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 136.576 4 34.144,0 32.576,0 32.256 39.168 3.361,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 148.800 4 37.200,0 35.344,0 34.784 43.328 4.093,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 140.288 4 35.072,0 33.120,0 33.024 41.024 3.969,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 146.720 4 36.680,0 34.720,0 34.496 42.784 4.072,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.712 4 36.928,0 34.864,0 34.400 43.584 4.456,0 CUDA_KERNEL lud_diagonal(float *, int, int)
