0,0 23.552 3 7.850,0 7.712,0 6.496 9.344 1.429,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.992 3 9.664,0 9.504,0 8.032 11.456 1.717,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.464 3 10.154,0 10.496,0 8.096 11.872 1.911,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.816 3 10.272,0 10.208,0 8.832 11.776 1.473,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.696 3 9.898,0 9.440,0 8.128 12.128 2.039,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.960 3 9.653,0 9.472,0 7.968 11.520 1.782,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.160 3 8.053,0 8.096,0 6.784 9.280 1.248,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.152 3 9.717,0 9.824,0 8.032 11.296 1.634,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.096 3 8.032,0 8.000,0 6.752 9.344 1.296,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.728 3 9.909,0 9.760,0 8.032 11.936 1.956,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.920 3 9.973,0 10.112,0 7.968 11.840 1.939,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.432 3 10.144,0 10.400,0 8.096 11.936 1.932,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.896 3 9.632,0 9.600,0 7.968 11.328 1.680,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.856 3 9.952,0 9.120,0 8.960 11.776 1.581,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.840 3 7.946,0 8.000,0 6.720 9.120 1.200,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.072 3 10.357,0 10.304,0 8.960 11.808 1.424,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.496 3 10.165,0 10.912,0 8.128 11.456 1.785,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.096 3 8.032,0 8.192,0 6.432 9.472 1.526,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.360 3 10.453,0 10.432,0 9.120 11.808 1.344,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 36.128 3 12.042,0 11.264,0 9.952 14.912 2.570,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.192 3 8.064,0 8.224,0 6.592 9.376 1.398,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.296 3 10.432,0 10.400,0 8.992 11.904 1.456,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.216 3 9.738,0 9.632,0 8.032 11.552 1.762,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 25.056 3 8.352,0 7.936,0 6.688 10.432 1.906,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.104 3 10.368,0 10.400,0 8.992 11.712 1.360,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.904 3 7.968,0 8.000,0 6.464 9.440 1.488,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 35.872 3 11.957,0 10.976,0 10.016 14.880 2.576,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 25.056 3 8.352,0 8.192,0 6.624 10.240 1.813,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.512 3 8.170,0 8.000,0 6.880 9.632 1.383,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.800 3 9.600,0 9.504,0 8.032 11.264 1.618,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.808 3 7.936,0 8.160,0 6.368 9.280 1.468,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.896 3 9.632,0 9.536,0 8.000 11.360 1.682,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.120 3 9.706,0 9.344,0 8.000 11.776 1.913,0 CUDA_KERNEL lud_internal(float *, int, int)
