37,0 503.316.000 5 100.663.200,0 93.026.080,0 90.456.800 132.375.200 17.803.314,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 488.704.032 5 97.740.806,0 91.350.944,0 89.174.880 120.983.136 13.360.384,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 507.651.840 5 101.530.368,0 92.389.696,0 91.623.488 117.315.616 13.027.409,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 536.372.512 5 107.274.502,0 93.363.968,0 91.299.904 150.490.784 25.204.627,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 512.631.104 5 102.526.220,0 95.609.408,0 91.317.792 128.671.264 15.516.645,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 502.949.056 5 100.589.811,0 92.353.056,0 89.151.296 135.753.728 19.823.493,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
38,0 558.866.880 5 111.773.376,0 109.652.256,0 92.466.720 135.983.936 15.625.474,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 487.422.560 5 97.484.512,0 92.247.104,0 90.498.880 121.091.904 13.220.767,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 555.813.536 5 111.162.707,0 104.506.240,0 91.189.760 134.970.496 21.359.852,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 487.966.304 5 97.593.260,0 91.845.856,0 90.562.368 121.861.664 13.586.123,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 513.004.160 5 102.600.832,0 92.564.576,0 90.444.640 143.152.672 22.713.538,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 485.087.264 5 97.017.452,0 92.756.832,0 90.538.944 114.838.848 10.177.820,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 486.273.664 5 97.254.732,0 96.799.648,0 90.769.280 106.291.456 6.656.549,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 489.309.056 5 97.861.811,0 92.617.728,0 90.547.552 118.851.168 11.925.399,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 487.802.560 5 97.560.512,0 92.451.424,0 90.413.568 119.954.144 12.586.598,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
38,0 554.017.472 5 110.803.494,0 109.034.560,0 98.099.072 125.501.472 9.900.478,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 489.272.640 5 97.854.528,0 92.345.600,0 90.393.216 123.080.256 14.130.657,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 500.886.240 5 100.177.248,0 91.694.208,0 90.492.192 135.233.728 19.610.039,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 511.401.408 5 102.280.281,0 93.070.560,0 90.462.144 127.859.456 15.817.974,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 497.032.576 5 99.406.515,0 91.227.904,0 89.154.336 135.126.688 19.991.230,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 500.182.080 5 100.036.416,0 92.456.224,0 90.439.616 132.719.584 18.304.324,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 488.773.472 5 97.754.694,0 92.577.024,0 90.489.120 120.994.944 13.043.198,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 481.955.520 5 96.391.104,0 92.424.800,0 90.537.440 115.400.512 10.660.172,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 493.600.032 5 98.720.006,0 92.532.544,0 90.540.896 126.724.800 15.679.898,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 492.561.600 5 98.512.320,0 92.421.568,0 90.499.840 124.527.040 14.601.567,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 501.878.752 5 100.375.750,0 93.489.536,0 90.513.120 129.972.384 16.736.689,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 504.428.896 5 100.885.779,0 92.283.840,0 90.488.000 138.106.912 20.823.588,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 558.412.576 5 111.682.515,0 110.074.560,0 92.614.368 135.727.488 19.677.194,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 481.084.256 5 96.216.851,0 92.263.648,0 90.489.408 114.922.080 10.486.261,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 479.876.576 5 95.975.315,0 91.244.608,0 89.993.856 115.529.824 10.957.022,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 511.186.176 5 102.237.235,0 94.494.656,0 91.181.504 138.057.184 20.082.378,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 511.307.264 5 102.261.452,0 94.967.776,0 91.979.008 121.665.952 13.199.341,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 541.669.184 5 108.333.836,0 95.550.176,0 90.562.400 158.480.192 28.700.334,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 509.218.880 5 101.843.776,0 93.536.256,0 90.512.864 127.646.944 15.821.779,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 508.867.488 5 101.773.497,0 94.460.864,0 90.480.352 136.495.200 19.490.143,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 482.527.008 5 96.505.401,0 91.761.856,0 90.513.472 112.418.656 9.211.161,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 502.338.368 5 100.467.673,0 92.424.864,0 90.522.624 135.071.904 19.369.029,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 498.470.208 5 99.694.041,0 92.436.128,0 90.494.240 129.499.744 16.749.139,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 492.866.784 5 98.573.356,0 91.835.520,0 90.520.480 123.568.320 14.127.048,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 495.905.568 5 99.181.113,0 92.257.536,0 90.543.840 128.446.336 16.378.118,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 508.807.776 5 101.761.555,0 92.395.424,0 90.550.464 141.086.752 22.019.065,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 511.062.720 5 102.212.544,0 93.433.408,0 91.193.152 124.223.328 14.464.317,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 506.253.504 5 101.250.700,0 93.663.392,0 90.474.624 132.646.592 17.714.482,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 494.587.840 5 98.917.568,0 92.125.568,0 90.444.928 128.238.880 16.410.025,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 504.351.392 5 100.870.278,0 92.371.936,0 90.479.872 136.768.896 20.098.339,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 488.088.480 5 97.617.696,0 92.416.960,0 90.471.904 121.346.560 13.298.144,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 486.976.416 5 97.395.283,0 92.380.256,0 90.546.080 119.574.368 12.422.606,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 525.884.608 5 105.176.921,0 93.928.800,0 90.476.960 153.605.152 27.134.130,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 492.157.440 5 98.431.488,0 93.330.432,0 90.606.560 119.289.632 11.997.857,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 486.497.600 5 97.299.520,0 91.678.240,0 89.134.240 120.136.480 13.006.661,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 504.534.720 5 100.906.944,0 92.368.416,0 91.067.616 121.194.816 13.362.367,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 501.317.984 5 100.263.596,0 92.395.136,0 90.541.376 133.495.744 18.618.495,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 507.837.696 5 101.567.539,0 96.206.624,0 91.188.640 120.117.856 12.253.146,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 511.120.512 5 102.224.102,0 96.310.752,0 91.133.216 121.257.632 13.318.112,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 496.744.512 5 99.348.902,0 93.649.376,0 90.520.224 124.044.000 13.950.242,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
