6,0 235.232 8 29.404,0 30.224,0 14.912 37.888 8.070,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 206.560 8 25.820,0 26.784,0 13.056 34.368 7.305,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 232.896 8 29.112,0 30.656,0 14.208 37.472 7.855,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 181.248 8 22.656,0 24.240,0 11.744 29.504 6.250,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 231.520 8 28.940,0 30.192,0 14.112 38.048 7.880,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 291.264 8 36.408,0 38.032,0 18.080 47.072 10.199,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 335.680 8 41.960,0 43.120,0 21.760 53.568 11.113,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 237.024 8 29.628,0 30.480,0 14.560 40.768 8.415,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 236.032 8 29.504,0 31.488,0 15.424 37.280 7.732,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 340.320 8 42.540,0 44.720,0 21.216 55.872 12.090,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 183.296 8 22.912,0 23.728,0 10.752 29.056 6.525,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 233.760 8 29.220,0 30.640,0 14.688 37.600 7.873,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 335.392 8 41.924,0 42.656,0 22.848 55.104 11.042,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 235.456 8 29.432,0 31.136,0 14.656 37.888 8.028,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.472 8 42.184,0 43.584,0 21.216 54.144 11.502,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.568 8 42.196,0 42.656,0 21.312 54.944 11.842,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 331.872 8 41.484,0 44.016,0 20.640 54.368 11.035,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 237.056 8 29.632,0 31.392,0 14.144 39.136 8.299,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 335.584 8 41.948,0 44.320,0 21.952 54.144 11.055,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 280.896 8 35.112,0 36.256,0 17.280 45.024 10.164,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 237.376 8 29.672,0 31.072,0 14.880 37.792 7.909,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 234.208 8 29.276,0 30.608,0 14.720 37.056 7.787,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 235.872 8 29.484,0 29.904,0 14.976 40.256 8.257,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 342.016 8 42.752,0 44.480,0 20.832 60.608 12.864,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 335.424 8 41.928,0 43.760,0 22.528 54.880 10.934,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 234.272 8 29.284,0 30.432,0 14.368 37.504 7.852,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 340.736 8 42.592,0 43.312,0 21.120 57.120 12.462,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 335.168 8 41.896,0 43.568,0 21.728 55.232 11.413,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.312 8 42.164,0 43.824,0 20.960 54.784 11.741,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 337.664 8 42.208,0 44.256,0 21.056 56.064 11.731,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 336.032 8 42.004,0 42.208,0 21.760 55.872 11.792,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.824 8 42.228,0 42.896,0 20.224 56.384 12.242,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 336.288 8 42.036,0 43.408,0 21.248 53.536 11.233,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 334.592 8 41.824,0 43.104,0 21.632 57.344 11.584,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
