     14,0        1.956.864          1  1.956.864,0  1.956.864,0  1.956.864  1.956.864          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          414.048          1    414.048,0    414.048,0    414.048    414.048          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     21,0        2.904.096          1  2.904.096,0  2.904.096,0  2.904.096  2.904.096          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          552.160          1    552.160,0    552.160,0    552.160    552.160          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.966.048          1  1.966.048,0  1.966.048,0  1.966.048  1.966.048          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          421.568          1    421.568,0    421.568,0    421.568    421.568          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     15,0        1.973.600          1  1.973.600,0  1.973.600,0  1.973.600  1.973.600          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          412.352          1    412.352,0    412.352,0    412.352    412.352          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.971.072          1  1.971.072,0  1.971.072,0  1.971.072  1.971.072          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          415.872          1    415.872,0    415.872,0    415.872    415.872          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.958.144          1  3.958.144,0  3.958.144,0  3.958.144  3.958.144          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          469.664          1    469.664,0    469.664,0    469.664    469.664          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     17,0        1.977.440          1  1.977.440,0  1.977.440,0  1.977.440  1.977.440          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          505.152          1    505.152,0    505.152,0    505.152    505.152          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.950.528          1  1.950.528,0  1.950.528,0  1.950.528  1.950.528          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          417.952          1    417.952,0    417.952,0    417.952    417.952          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     16,0        1.967.072          1  1.967.072,0  1.967.072,0  1.967.072  1.967.072          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          413.760          1    413.760,0    413.760,0    413.760    413.760          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.982.368          1  1.982.368,0  1.982.368,0  1.982.368  1.982.368          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          412.576          1    412.576,0    412.576,0    412.576    412.576          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        1.984.832          1  1.984.832,0  1.984.832,0  1.984.832  1.984.832          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          418.016          1    418.016,0    418.016,0    418.016    418.016          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     11,0        1.977.248          1  1.977.248,0  1.977.248,0  1.977.248  1.977.248          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      2,0          416.512          1    416.512,0    416.512,0    416.512    416.512          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     16,0        1.972.704          1  1.972.704,0  1.972.704,0  1.972.704  1.972.704          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          416.736          1    416.736,0    416.736,0    416.736    416.736          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        1.965.472          1  1.965.472,0  1.965.472,0  1.965.472  1.965.472          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          416.928          1    416.928,0    416.928,0    416.928    416.928          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.963.936          1  1.963.936,0  1.963.936,0  1.963.936  1.963.936          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          415.872          1    415.872,0    415.872,0    415.872    415.872          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     21,0        3.870.400          1  3.870.400,0  3.870.400,0  3.870.400  3.870.400          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          773.536          1    773.536,0    773.536,0    773.536    773.536          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     17,0        1.980.480          1  1.980.480,0  1.980.480,0  1.980.480  1.980.480          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          505.728          1    505.728,0    505.728,0    505.728    505.728          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        3.865.632          1  3.865.632,0  3.865.632,0  3.865.632  3.865.632          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          781.184          1    781.184,0    781.184,0    781.184    781.184          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     16,0        1.960.704          1  1.960.704,0  1.960.704,0  1.960.704  1.960.704          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          416.000          1    416.000,0    416.000,0    416.000    416.000          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        2.460.544          1  2.460.544,0  2.460.544,0  2.460.544  2.460.544          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          490.752          1    490.752,0    490.752,0    490.752    490.752          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.968.864          1  1.968.864,0  1.968.864,0  1.968.864  1.968.864          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          419.232          1    419.232,0    419.232,0    419.232    419.232          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.984.768          1  1.984.768,0  1.984.768,0  1.984.768  1.984.768          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          415.744          1    415.744,0    415.744,0    415.744    415.744          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        2.927.456          1  2.927.456,0  2.927.456,0  2.927.456  2.927.456          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          550.784          1    550.784,0    550.784,0    550.784    550.784          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        2.905.248          1  2.905.248,0  2.905.248,0  2.905.248  2.905.248          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          553.568          1    553.568,0    553.568,0    553.568    553.568          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
