      0,0           29.920          3      9.973,0      9.792,0     8.704     11.424      1.369,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.928          4     64.232,0     62.352,0    62.336     69.888      3.770,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.544          3     72.181,0     70.848,0    69.248     76.448      3.780,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.608          3      9.536,0      9.472,0     7.712     11.424      1.856,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.856          4     64.464,0     62.608,0    62.304     70.336      3.917,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.672          3     72.224,0     70.752,0    69.024     76.896      4.137,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.120          3      9.706,0      9.728,0     7.616     11.776      2.080,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          258.752          4     64.688,0     63.136,0    62.688     69.792      3.409,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.192          3     72.064,0     69.376,0    69.344     77.472      4.683,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.576          3      9.525,0      9.344,0     7.968     11.264      1.655,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.120          4     64.280,0     62.448,0    62.240     69.984      3.804,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          214.912          3     71.637,0     69.664,0    68.672     76.576      4.305,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.440          3      9.813,0      9.504,0     8.704     11.232      1.292,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.544          4     64.136,0     62.656,0    62.304     68.928      3.207,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          214.592          3     71.530,0     69.856,0    68.672     76.064      3.970,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           30.400          3     10.133,0      9.408,0     8.320     12.672      2.264,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.352          4     64.088,0     62.416,0    62.304     69.216      3.419,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          217.248          3     72.416,0     70.720,0    69.472     77.056      4.066,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.480          3      9.493,0      9.664,0     7.616     11.200      1.798,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.416          4     64.104,0     62.384,0    62.272     69.376      3.515,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.104          3     71.701,0     69.824,0    68.704     76.576      4.258,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.632          3      9.877,0      9.664,0     8.096     11.872      1.897,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          258.496          4     64.624,0     63.232,0    62.400     69.632      3.362,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          217.376          3     72.458,0     70.944,0    69.792     76.640      3.666,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.544          3      9.514,0      9.344,0     8.032     11.168      1.575,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          256.576          4     64.144,0     62.400,0    62.304     69.472      3.552,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.320          3     72.106,0     70.336,0    68.704     77.280      4.553,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.184          3      9.728,0      9.536,0     8.576     11.072      1.259,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          258.048          4     64.512,0     62.656,0    62.368     70.368      3.908,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          217.024          3     72.341,0     70.752,0    68.704     77.568      4.640,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.160          3      9.386,0      9.344,0     7.712     11.104      1.696,0  CUDA_KERNEL  lud_internal(float *, int, int) 
