0,0 29.440 3 9.813,0 9.408,0 7.968 12.064 2.077,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.824 3 9.941,0 9.696,0 8.576 11.552 1.503,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.920 3 9.973,0 9.536,0 8.608 11.776 1.628,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.408 3 9.802,0 9.760,0 8.608 11.040 1.216,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.176 3 10.058,0 9.472,0 8.608 12.096 1.816,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.568 3 9.856,0 9.728,0 8.192 11.648 1.731,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.768 3 9.589,0 9.312,0 7.936 11.520 1.808,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.816 3 10.272,0 10.112,0 8.032 12.672 2.324,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.016 3 10.005,0 10.464,0 7.968 11.584 1.851,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.376 3 9.792,0 9.664,0 8.224 11.488 1.635,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.600 3 9.866,0 10.080,0 8.384 11.136 1.388,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.848 3 10.282,0 10.144,0 8.704 12.000 1.652,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.920 3 9.973,0 9.824,0 8.544 11.552 1.509,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.024 3 9.674,0 9.472,0 8.544 11.008 1.244,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.736 3 9.578,0 9.408,0 7.744 11.584 1.925,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.848 3 10.282,0 9.472,0 8.672 12.704 2.134,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.256 3 9.418,0 9.280,0 8.000 10.976 1.492,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.632 3 9.877,0 9.600,0 8.064 11.968 1.966,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.568 3 9.856,0 10.304,0 8.096 11.168 1.584,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.152 3 9.717,0 9.824,0 8.000 11.328 1.666,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.504 3 9.834,0 9.952,0 7.648 11.904 2.130,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.504 3 9.834,0 9.600,0 8.224 11.680 1.739,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.560 3 10.186,0 9.440,0 8.256 12.864 2.393,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.528 3 10.176,0 10.464,0 8.256 11.808 1.793,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.152 3 9.717,0 9.504,0 7.936 11.712 1.897,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.992 3 9.664,0 9.472,0 7.872 11.648 1.895,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.216 3 9.738,0 10.080,0 7.968 11.168 1.627,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.184 3 9.728,0 8.864,0 8.576 11.744 1.751,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.384 3 9.461,0 9.216,0 8.032 11.136 1.566,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.448 3 9.482,0 9.568,0 7.712 11.168 1.729,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.344 3 9.781,0 9.600,0 8.448 11.296 1.432,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.088 3 9.696,0 9.344,0 8.512 11.232 1.393,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.536 3 9.845,0 10.144,0 8.128 11.264 1.589,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.856 3 9.952,0 9.376,0 7.840 12.640 2.451,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.960 3 9.653,0 9.472,0 8.032 11.456 1.719,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.704 3 9.568,0 9.568,0 7.968 11.168 1.600,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.552 3 10.517,0 10.400,0 8.576 12.576 2.002,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.760 3 9.920,0 9.440,0 8.512 11.808 1.699,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.056 3 9.685,0 9.536,0 7.936 11.584 1.828,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.568 3 9.856,0 8.832,0 8.096 12.640 2.438,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.344 3 9.781,0 9.632,0 7.936 11.776 1.924,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.408 3 9.802,0 9.472,0 8.320 11.616 1.672,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.976 3 10.325,0 9.664,0 8.576 12.736 2.157,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.360 3 10.453,0 10.112,0 8.160 13.088 2.481,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.504 3 9.834,0 9.600,0 8.256 11.648 1.708,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.384 3 9.461,0 8.704,0 7.904 11.776 2.044,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.248 3 9.749,0 9.696,0 7.840 11.712 1.936,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.952 3 9.984,0 9.504,0 8.448 12.000 1.824,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.216 3 9.738,0 9.760,0 8.000 11.456 1.728,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.664 3 9.888,0 10.176,0 7.968 11.520 1.793,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.832 3 9.610,0 9.504,0 7.936 11.392 1.730,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.984 3 9.994,0 10.240,0 8.288 11.456 1.598,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.640 3 9.546,0 8.736,0 8.608 11.296 1.516,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.832 3 9.610,0 9.696,0 8.096 11.040 1.473,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.600 3 9.866,0 9.344,0 8.672 11.584 1.524,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.504 3 9.834,0 9.888,0 7.680 11.936 2.128,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.184 3 9.728,0 10.080,0 8.096 11.008 1.487,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.576 3 9.525,0 9.568,0 7.968 11.040 1.536,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.504 3 9.834,0 9.856,0 8.416 11.232 1.408,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.768 3 9.589,0 9.856,0 7.648 11.264 1.822,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.312 3 9.770,0 9.728,0 7.936 11.648 1.856,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.248 3 9.749,0 9.696,0 7.680 11.872 2.096,0 CUDA_KERNEL lud_internal(float *, int, int)
