3,0 354.576.864 6.000 59.096,0 59.744,0 53.600 185.888 8.172,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 359.437.344 6.000 59.906,0 60.160,0 53.824 1.083.232 15.987,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 360.470.208 6.000 60.078,0 59.712,0 53.408 1.144.192 17.615,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 377.034.336 6.000 62.839,0 59.616,0 53.760 782.208 20.983,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 372.878.336 6.000 62.146,0 61.152,0 53.920 1.483.360 23.207,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 361.436.128 6.000 60.239,0 58.944,0 53.760 174.496 13.231,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 359.718.208 6.000 59.953,0 57.152,0 52.608 1.932.768 28.904,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 352.594.304 6.000 58.765,0 58.816,0 54.176 201.280 7.886,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 359.008.960 6.000 59.834,0 59.744,0 54.592 1.541.216 20.807,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 365.134.144 6.000 60.855,0 58.400,0 52.576 1.029.408 20.395,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 363.408.352 6.000 60.568,0 58.976,0 53.632 1.133.280 22.902,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 364.651.392 6.000 60.775,0 59.296,0 53.312 1.529.216 23.767,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 362.643.648 6.000 60.440,0 60.544,0 54.944 175.616 9.434,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 361.291.712 6.000 60.215,0 60.224,0 52.576 1.079.424 17.228,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 361.722.944 6.000 60.287,0 60.448,0 53.952 171.168 8.793,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 364.107.072 6.000 60.684,0 58.368,0 52.768 1.129.440 26.836,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 358.955.520 6.000 59.825,0 59.040,0 53.888 1.086.528 17.394,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 359.646.240 6.000 59.941,0 60.288,0 54.144 1.077.280 15.442,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 363.763.648 6.000 60.627,0 60.704,0 54.400 1.607.424 21.875,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 368.493.152 6.000 61.415,0 60.480,0 54.496 1.845.920 24.930,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 364.758.880 6.000 60.793,0 60.032,0 53.408 744.320 15.393,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 361.364.384 6.000 60.227,0 59.968,0 52.032 183.968 12.514,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 357.699.488 6.000 59.616,0 59.808,0 54.528 176.064 8.463,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 358.147.936 6.000 59.691,0 59.488,0 52.224 175.584 11.836,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 359.823.904 6.000 59.970,0 59.776,0 53.088 1.986.752 26.929,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 363.814.816 6.000 60.635,0 60.032,0 53.408 1.522.368 26.038,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 361.749.984 6.000 60.291,0 59.840,0 54.848 1.470.080 19.996,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
