37,0 3.381.025.984 6.000 563.504,0 555.104,0 547.520 2.499.520 76.943,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.381.706.432 6.000 563.617,0 555.520,0 547.392 2.497.696 73.948,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.453.755.392 6.000 575.625,0 553.888,0 526.048 4.646.208 129.133,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.403.981.344 6.000 567.330,0 554.784,0 528.096 3.378.528 89.877,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.363.859.040 6.000 560.643,0 554.240,0 524.384 4.078.432 93.748,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.630.817.408 6.000 605.136,0 554.976,0 528.288 2.515.008 154.736,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.377.665.728 6.000 562.944,0 555.136,0 547.168 2.650.112 76.662,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.391.188.800 6.000 565.198,0 555.744,0 546.176 4.114.432 103.048,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.452.902.400 6.000 575.483,0 547.904,0 521.344 2.474.720 123.367,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.373.261.120 6.000 562.210,0 555.008,0 547.456 4.230.912 92.838,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.391.173.696 6.000 565.195,0 555.328,0 528.256 2.505.792 77.389,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.389.283.616 6.000 564.880,0 554.528,0 526.944 2.824.256 94.040,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.376.119.072 6.000 562.686,0 555.008,0 527.456 2.528.480 79.931,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.371.060.864 6.000 561.843,0 555.232,0 548.256 4.032.288 82.071,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.442.300.160 6.000 573.716,0 554.560,0 526.112 3.123.808 118.966,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.402.094.368 6.000 567.015,0 554.432,0 525.728 1.943.936 92.588,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.375.665.088 6.000 562.610,0 555.392,0 546.752 2.004.160 68.885,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.378.159.808 6.000 563.026,0 555.424,0 547.424 2.503.584 70.521,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.452.560.192 6.000 575.426,0 554.112,0 525.376 5.388.864 136.044,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.400.311.168 6.000 566.718,0 555.360,0 528.704 2.692.352 87.189,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.398.910.592 6.000 566.485,0 554.272,0 526.848 2.411.904 106.120,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
