5,0 457.279.776 6.000 76.213,0 76.608,0 66.048 1.059.008 17.250,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 469.934.624 6.000 78.322,0 78.112,0 66.944 1.501.888 21.447,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 468.974.688 6.000 78.162,0 77.216,0 75.968 1.503.200 19.639,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 466.648.544 6.000 77.774,0 77.984,0 66.688 1.996.576 27.143,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 461.355.360 6.000 76.892,0 77.792,0 66.976 200.768 9.852,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 476.514.176 6.000 79.419,0 77.280,0 66.848 2.930.016 49.925,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 471.012.672 6.000 78.502,0 77.312,0 76.192 1.149.568 15.591,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 443.854.752 6.000 73.975,0 67.680,0 66.624 2.001.152 40.723,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 472.004.480 6.000 78.667,0 78.560,0 67.360 176.672 12.048,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 462.665.120 6.000 77.110,0 77.152,0 66.528 1.063.456 17.105,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 473.817.888 6.000 78.969,0 77.856,0 76.576 175.456 7.510,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 472.106.624 6.000 78.684,0 77.440,0 76.224 172.928 10.407,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 467.778.752 6.000 77.963,0 76.544,0 66.592 926.848 15.324,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 456.351.488 6.000 76.058,0 77.056,0 66.592 1.089.312 18.153,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 470.800.256 6.000 78.466,0 77.664,0 76.480 174.400 7.673,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 471.548.256 6.000 78.591,0 77.632,0 76.160 1.537.760 22.363,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 466.880.288 6.000 77.813,0 76.608,0 75.104 1.487.264 19.592,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 480.016.032 6.000 80.002,0 77.696,0 66.912 1.155.168 25.819,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 470.522.400 6.000 78.420,0 76.544,0 66.752 2.402.880 48.563,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
4,0 441.037.408 6.000 73.506,0 67.936,0 66.528 197.120 14.914,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 458.366.432 6.000 76.394,0 76.672,0 66.432 1.983.072 26.694,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 458.097.152 6.000 76.349,0 76.640,0 66.464 899.648 16.653,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
