      5,0          802.208          1    802.208,0    802.208,0    802.208    802.208          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        3.882.528          1  3.882.528,0  3.882.528,0  3.882.528  3.882.528          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          801.984          1    801.984,0    801.984,0    801.984    801.984          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        2.507.232          1  2.507.232,0  2.507.232,0  2.507.232  2.507.232          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          515.616          1    515.616,0    515.616,0    515.616    515.616          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     25,0        2.509.152          1  2.509.152,0  2.509.152,0  2.509.152  2.509.152          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          507.328          1    507.328,0    507.328,0    507.328    507.328          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     21,0        1.972.192          1  1.972.192,0  1.972.192,0  1.972.192  1.972.192          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          430.112          1    430.112,0    430.112,0    430.112    430.112          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        1.959.296          1  1.959.296,0  1.959.296,0  1.959.296  1.959.296          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          429.408          1    429.408,0    429.408,0    429.408    429.408          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     17,0        1.962.848          1  1.962.848,0  1.962.848,0  1.962.848  1.962.848          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          411.424          1    411.424,0    411.424,0    411.424    411.424          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        1.975.904          1  1.975.904,0  1.975.904,0  1.975.904  1.975.904          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      6,0          436.992          1    436.992,0    436.992,0    436.992    436.992          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        1.972.864          1  1.972.864,0  1.972.864,0  1.972.864  1.972.864          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          435.872          1    435.872,0    435.872,0    435.872    435.872          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     29,0        2.453.248          1  2.453.248,0  2.453.248,0  2.453.248  2.453.248          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
