     23,0      110.215.648        127      867.839,0      602.464,0        6.880    2.356.256     778.325,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.372.672        127      113.170,0      107.520,0       68.256      179.872      36.973,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.246.528        128       64.426,0       64.144,0       51.200       68.544       3.882,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      110.809.984        127      872.519,0      618.304,0        5.664    2.480.576     792.636,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.341.216        127      112.923,0      106.464,0       43.200      182.368      38.811,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.167.072        128       63.805,0       63.408,0       38.976       68.704       5.723,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      111.671.136        127      879.300,0      597.920,0        5.792    2.586.688     812.956,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.399.168        127      113.379,0      105.952,0       44.864      197.056      41.195,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.154.016        128       63.703,0       65.808,0       40.352       68.928       6.580,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      108.144.128        127      851.528,0      646.944,0        6.944    2.256.544     753.270,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.290.080        127      112.520,0      108.256,0       68.064      174.816      36.013,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.223.936        128       64.249,0       64.096,0       51.168       68.768       4.269,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      104.375.360        127      821.853,0      621.216,0        6.816    2.014.144     707.255,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.069.024        127      110.779,0      107.360,0       68.192      171.968      33.371,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.139.616        128       63.590,0       63.040,0       50.112       68.960       5.048,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      104.749.664        127      824.800,0      611.872,0        6.912    2.014.432     708.417,0  CUDA_KERNEL  lud_internal(float *, int, int) 
