3,0 14.012.704 127 110.336,0 108.576,0 68.800 165.664 32.157,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.197.472 127 111.791,0 108.672,0 67.904 174.240 34.807,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 11.939.936 127 94.015,0 89.056,0 69.056 150.464 21.852,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.424.352 127 113.577,0 108.800,0 69.376 179.936 35.873,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 10.991.136 127 86.544,0 80.352,0 52.384 150.560 28.550,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.528.416 127 114.397,0 106.624,0 68.320 183.168 38.204,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 10.953.120 127 86.245,0 80.000,0 52.160 150.912 28.800,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.705.920 127 107.920,0 107.104,0 44.256 164.416 33.077,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.150.560 127 111.421,0 107.392,0 68.704 172.096 33.458,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.936.672 127 109.737,0 108.224,0 69.536 164.352 31.419,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.469.216 127 113.930,0 107.840,0 69.536 179.552 36.334,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.324.512 127 112.791,0 106.720,0 67.520 179.712 36.546,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.946.752 127 109.816,0 107.392,0 68.768 164.832 31.265,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.207.392 127 111.869,0 107.232,0 68.064 173.536 34.378,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.964.160 127 109.954,0 106.912,0 69.472 165.792 31.718,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.994.784 127 110.195,0 106.848,0 68.736 165.440 32.045,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.098.368 127 111.010,0 105.056,0 68.704 171.904 32.949,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.258.304 127 112.270,0 106.688,0 67.648 174.176 35.455,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.366.688 127 105.249,0 105.760,0 44.576 165.728 37.427,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.634.496 127 107.358,0 107.680,0 68.448 162.208 29.969,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.940.992 127 109.771,0 107.776,0 68.736 166.272 31.392,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.244.448 127 112.161,0 107.840,0 45.152 179.968 37.392,0 CUDA_KERNEL lud_perimeter(float *, int, int)
