1,0 3.364.864 9 373.873,0 369.792,0 310.560 456.736 56.068,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.688.064 9 298.673,0 289.920,0 47.264 479.840 125.253,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.352.000 9 372.444,0 416.224,0 25.312 508.320 151.711,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.589.696 9 621.077,0 770.976,0 365.664 856.448 218.144,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.854.400 9 650.488,0 748.736,0 293.760 849.600 223.108,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.360.608 9 373.400,0 377.952,0 228.160 449.152 73.826,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.160.768 9 351.196,0 365.056,0 222.400 427.712 61.702,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.372.192 9 374.688,0 407.552,0 136.768 527.168 125.516,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.511.936 9 390.215,0 399.840,0 263.520 442.624 51.940,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.591.840 9 399.093,0 421.856,0 299.264 448.096 52.595,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.353.632 9 594.848,0 501.376,0 361.792 913.376 201.235,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.095.936 9 343.992,0 384.992,0 174.816 434.080 83.276,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.529.184 9 392.131,0 382.592,0 315.360 484.000 55.836,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.373.568 9 374.840,0 378.240,0 228.032 482.144 89.716,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.197.728 9 577.525,0 552.864,0 219.040 914.528 237.523,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.393.696 9 265.966,0 340.192,0 10.496 453.088 163.649,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.956.704 9 328.522,0 358.304,0 76.352 490.816 144.443,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.028.704 9 558.744,0 455.584,0 211.488 848.544 253.358,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.469.856 9 385.539,0 390.816,0 274.976 488.512 67.947,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.135.392 9 348.376,0 373.312,0 200.128 419.008 79.657,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.814.656 9 646.072,0 716.832,0 185.024 900.320 259.524,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.882.464 9 320.273,0 347.840,0 106.560 457.632 118.517,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.281.984 9 364.664,0 336.896,0 264.704 493.024 72.847,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.355.744 9 372.860,0 401.184,0 110.560 458.208 107.527,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.487.840 9 609.760,0 489.632,0 343.840 910.304 235.483,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.791.680 9 421.297,0 431.648,0 330.944 483.552 53.917,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.358.144 9 373.127,0 410.016,0 192.768 490.560 91.458,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.797.376 9 421.930,0 413.056,0 327.328 496.960 54.469,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.696.960 9 299.662,0 312.544,0 13.184 445.536 162.276,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.248.352 9 360.928,0 373.536,0 272.672 500.928 73.779,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.453.344 9 383.704,0 419.744,0 187.488 478.144 96.534,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 7.912.128 9 879.125,0 618.688,0 154.848 3.772.800 1.101.693,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.311.392 9 367.932,0 384.832,0 263.744 435.168 60.870,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.334.624 9 370.513,0 393.056,0 166.656 545.536 116.521,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.658.912 9 406.545,0 413.440,0 286.560 501.024 71.219,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.395.136 9 377.237,0 385.472,0 204.736 516.000 86.396,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.661.856 9 629.095,0 716.704,0 363.456 876.928 201.598,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.043.840 9 338.204,0 299.680,0 251.424 447.904 74.771,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.037.408 9 337.489,0 350.752,0 61.088 492.160 136.307,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.308.736 9 367.637,0 373.088,0 287.680 500.224 69.385,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.351.072 9 372.341,0 384.480,0 255.040 441.440 55.094,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.144.768 9 349.418,0 360.896,0 103.424 464.160 109.424,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.416.864 9 601.873,0 641.632,0 213.312 817.664 201.193,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.663.904 9 295.989,0 302.752,0 76.896 469.088 123.039,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.698.240 9 633.137,0 626.912,0 414.112 875.008 174.306,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.365.632 9 596.181,0 763.968,0 118.144 843.584 277.999,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.248.416 9 360.935,0 397.696,0 238.048 450.528 70.885,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.525.088 9 391.676,0 446.720,0 112.768 502.368 121.077,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.025.760 9 336.195,0 343.936,0 123.104 467.136 109.872,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 4.241.760 9 471.306,0 445.792,0 327.072 704.416 124.286,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.673.792 9 408.199,0 448.672,0 224.736 523.936 107.766,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.936.000 9 326.222,0 426.496,0 53.504 470.816 167.939,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
