23,0 97.195.424 9 10.799.491,0 12.908.480,0 6.551.360 12.932.480 3.171.295,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.142.400 9 6.460.266,0 6.460.224,0 6.454.016 6.470.752 4.523,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.393.952 9 6.488.216,0 6.457.824,0 6.447.840 6.562.592 48.663,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.120.672 9 6.457.852,0 6.459.104,0 6.447.296 6.468.224 5.694,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.372.960 9 6.485.884,0 6.463.456,0 6.452.064 6.563.264 43.263,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.123.904 9 6.458.211,0 6.458.912,0 6.451.584 6.468.800 5.841,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.160.832 9 6.684.536,0 6.550.432,0 6.451.520 6.948.864 246.793,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.497.728 9 6.721.969,0 6.889.888,0 6.446.400 6.936.000 232.038,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.089.280 9 6.454.364,0 6.456.160,0 6.436.352 6.468.512 9.861,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.227.840 9 6.469.760,0 6.459.008,0 6.452.608 6.565.664 36.047,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 62.255.392 9 6.917.265,0 6.460.256,0 6.454.752 9.445.792 1.016.888,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.173.408 9 6.574.823,0 6.518.400,0 6.430.048 6.710.144 128.295,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.088.800 9 6.454.311,0 6.453.824,0 6.444.864 6.467.872 6.822,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.316.128 9 6.479.569,0 6.459.200,0 6.446.432 6.656.160 66.510,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.480.512 9 6.608.945,0 6.553.408,0 6.538.496 6.744.800 78.146,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.413.792 9 6.712.643,0 6.621.440,0 6.507.200 6.942.176 191.480,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.294.304 9 6.477.144,0 6.459.168,0 6.448.800 6.551.552 40.554,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.468.736 9 6.496.526,0 6.458.944,0 6.457.728 6.564.608 48.037,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 97.778.208 9 10.864.245,0 12.907.232,0 6.536.160 12.934.880 3.079.318,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.103.008 9 6.455.889,0 6.456.480,0 6.441.472 6.465.664 6.686,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.185.088 9 6.465.009,0 6.457.536,0 6.449.984 6.529.984 24.571,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.103.168 9 6.455.907,0 6.456.512,0 6.446.816 6.468.288 6.748,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.184.160 9 6.464.906,0 6.456.064,0 6.449.344 6.537.792 27.886,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.124.000 9 6.458.222,0 6.457.824,0 6.452.960 6.469.888 4.985,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.127.872 9 6.458.652,0 6.459.552,0 6.451.904 6.465.984 4.117,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.443.744 9 6.715.971,0 6.902.208,0 6.452.160 6.947.040 244.291,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.135.840 9 6.459.537,0 6.460.576,0 6.454.336 6.463.872 2.802,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.250.624 9 6.694.513,0 6.860.704,0 6.455.328 6.896.960 222.845,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.953.984 9 6.661.553,0 6.570.208,0 6.455.296 6.867.872 196.347,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
18,0 62.705.248 9 6.967.249,0 6.460.096,0 6.453.024 8.232.800 785.149,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.113.408 9 6.457.045,0 6.456.640,0 6.450.752 6.470.048 5.684,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
24,0 107.915.616 9 11.990.624,0 12.910.816,0 6.546.688 12.930.304 2.139.541,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.807.520 9 6.756.391,0 6.461.568,0 6.454.048 7.833.184 543.597,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
22,0 91.389.888 9 10.154.432,0 12.899.168,0 6.707.136 12.935.200 3.267.025,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.436.608 9 6.715.178,0 6.907.552,0 6.456.768 6.931.712 239.700,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.222.048 9 6.469.116,0 6.459.104,0 6.447.200 6.563.264 35.624,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.422.432 9 6.491.381,0 6.461.344,0 6.447.680 6.557.600 49.400,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.144.096 9 6.460.455,0 6.457.792,0 6.452.736 6.477.056 7.041,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.118.912 9 6.568.768,0 6.475.648,0 6.459.008 6.704.288 120.689,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.212.672 9 6.468.074,0 6.460.352,0 6.454.080 6.544.864 28.928,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.557.280 9 6.617.475,0 6.463.040,0 6.452.224 6.942.176 232.853,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
22,0 92.837.856 9 10.315.317,0 12.890.592,0 6.546.048 12.929.664 3.135.199,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 103.089.536 9 11.454.392,0 12.906.144,0 6.553.312 12.932.448 2.779.272,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.396.352 9 6.488.483,0 6.463.360,0 6.453.152 6.565.568 44.538,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.169.120 9 6.463.235,0 6.459.136,0 6.453.088 6.505.024 16.026,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.472.544 9 6.719.171,0 6.642.208,0 6.448.576 6.943.552 211.688,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.480.448 9 6.497.827,0 6.463.232,0 6.456.832 6.565.120 47.813,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.132.960 9 6.459.217,0 6.458.784,0 6.455.520 6.467.808 3.546,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
22,0 91.903.392 9 10.211.488,0 12.904.160,0 6.571.424 12.920.096 3.208.384,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.448.128 9 6.494.236,0 6.461.632,0 6.455.264 6.559.744 44.966,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.121.632 9 6.457.959,0 6.456.704,0 6.453.408 6.467.136 4.260,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
