22.2 100428256 127 790773.7 394272.0 5024 2655296 843005.0 CUDA_KERNEL lud_internal(float *, int, int)
23.5 118719232 127 934797.1 705504.0 7968 2803648 850129.6 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113562848 127 894195.7 637088.0 8000 2682848 824060.9 CUDA_KERNEL lud_internal(float *, int, int)
20.8 80572032 127 634425.4 458464.0 6496 1895136 580023.7 CUDA_KERNEL lud_internal(float *, int, int)
23.0 108346944 127 853125.5 452000.0 5024 2680032 850962.9 CUDA_KERNEL lud_internal(float *, int, int)
23.1 109299168 127 860623.4 592288.0 4960 2675712 841288.3 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113344384 127 892475.5 604352.0 8480 2678240 823939.8 CUDA_KERNEL lud_internal(float *, int, int)
22.9 112912704 127 889076.4 615904.0 8448 2652544 821918.7 CUDA_KERNEL lud_internal(float *, int, int)
23.1 109384128 127 861292.3 596192.0 4992 2662304 837267.1 CUDA_KERNEL lud_internal(float *, int, int)
23.0 107112320 127 843404.1 436384.0 5088 2668192 846793.2 CUDA_KERNEL lud_internal(float *, int, int)
22.7 112953056 127 889394.1 612928.0 8000 2687200 821097.9 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113679008 127 895110.3 656864.0 7904 2647456 825555.2 CUDA_KERNEL lud_internal(float *, int, int)
22.0 97325568 127 766343.1 392672.0 5088 2661504 833711.8 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113788576 127 895973.0 630528.0 8000 2651232 825030.3 CUDA_KERNEL lud_internal(float *, int, int)
23.1 108411456 127 853633.5 466176.0 5056 2677024 849577.8 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113724480 127 895468.3 649888.0 8672 2671360 826224.3 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113112800 127 890652.0 624768.0 7712 2687584 820858.1 CUDA_KERNEL lud_internal(float *, int, int)
23.1 107620224 127 847403.3 446432.0 4864 2681376 850898.0 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113679520 127 895114.3 632448.0 8576 2672992 828008.6 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113179808 127 891179.6 623968.0 8032 2692768 820987.6 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113404064 127 892945.4 635072.0 7936 2664480 823779.7 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113948256 127 897230.4 640352.0 8032 2668416 824607.0 CUDA_KERNEL lud_internal(float *, int, int)
22.9 112864992 127 888700.7 616768.0 8000 2658560 820546.8 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113104320 127 890585.2 624224.0 8320 2649184 820711.9 CUDA_KERNEL lud_internal(float *, int, int)
22.5 101947808 127 802738.6 398496.0 4992 4331488 922081.0 CUDA_KERNEL lud_internal(float *, int, int)
22.9 112792960 127 888133.5 617696.0 8000 2668128 820939.5 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113667456 127 895019.3 651264.0 8000 2686144 825698.2 CUDA_KERNEL lud_internal(float *, int, int)
23.9 119336512 127 939657.6 653568.0 7936 5876608 961330.5 CUDA_KERNEL lud_internal(float *, int, int)
21.7 95801856 127 754345.3 417344.0 4576 2695040 824900.7 CUDA_KERNEL lud_internal(float *, int, int)
22.9 113235712 127 891619.8 632160.0 5600 2686944 823059.5 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113786976 127 895960.4 650368.0 7648 2685760 826388.4 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113034016 127 890031.6 628384.0 7968 2679552 820303.6 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113770368 127 895829.7 634240.0 8480 2672000 826206.3 CUDA_KERNEL lud_internal(float *, int, int)
22.9 113883776 127 896722.6 642976.0 8576 2676992 825925.1 CUDA_KERNEL lud_internal(float *, int, int)
