48,0 1.435.150.496 10 143.515.049,0 147.575.680,0 86.947.712 208.903.904 47.289.519,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.492.213.216 10 149.221.321,0 132.571.312,0 86.813.632 230.659.808 60.969.202,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.407.624.384 10 140.762.438,0 95.421.456,0 86.833.248 224.624.096 62.222.804,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.617.703.456 10 161.770.345,0 184.786.736,0 92.458.208 208.652.160 46.549.260,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.825.556.864 10 182.555.686,0 192.393.568,0 95.542.304 223.314.688 41.595.711,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.926.352.192 10 192.635.219,0 196.259.056,0 148.818.656 227.530.336 24.691.983,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.628.895.648 10 162.889.564,0 186.374.288,0 90.391.040 221.890.624 54.171.308,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.689.059.104 10 168.905.910,0 169.939.504,0 121.927.328 215.576.768 27.057.057,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.763.775.168 10 176.377.516,0 171.169.760,0 146.601.824 220.214.240 27.366.368,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.495.697.216 10 149.569.721,0 170.738.880,0 90.421.344 220.747.904 47.454.972,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.147.136 10 92.214.713,0 91.626.256,0 86.669.216 98.502.016 3.462.524,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.155.114.464 10 115.511.446,0 93.528.784,0 86.808.096 206.163.584 46.012.445,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.205.338.528 10 120.533.852,0 101.290.416,0 90.409.216 182.216.992 38.039.046,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.346.257.536 10 134.625.753,0 105.523.824,0 90.396.480 208.936.384 50.782.569,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.215.357.856 10 121.535.785,0 90.895.888,0 87.674.112 182.192.000 42.086.148,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.549.776.448 10 154.977.644,0 184.957.920,0 90.328.480 225.655.712 53.211.588,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.026.318.112 10 102.631.811,0 91.631.296,0 86.908.448 184.358.816 29.677.850,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.233.876.480 10 123.387.648,0 92.081.632,0 88.843.680 189.263.008 43.114.125,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.188.393.984 10 118.839.398,0 91.415.184,0 85.774.016 199.792.992 46.522.917,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.122.470.240 10 112.247.024,0 90.482.048,0 85.905.600 184.850.144 39.050.903,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.215.144.064 10 121.514.406,0 92.529.024,0 89.117.760 182.870.784 40.271.515,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.161.138.848 10 116.113.884,0 92.144.992,0 86.995.136 211.676.608 47.952.422,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.386.540.992 10 138.654.099,0 92.911.776,0 89.811.072 225.927.520 61.335.758,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.301.050.304 10 130.105.030,0 91.987.008,0 88.746.688 208.896.896 51.399.260,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
