0.4 702656 1 702656.0 702656.0 702656 702656 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 694336 1 694336.0 694336.0 694336 694336 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699968 1 699968.0 699968.0 699968 699968 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 541792 1 541792.0 541792.0 541792 541792 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.2 411904 1 411904.0 411904.0 411904 411904 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 701088 1 701088.0 701088.0 701088 701088 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 693664 1 693664.0 693664.0 693664 693664 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 696352 1 696352.0 696352.0 696352 696352 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 692960 1 692960.0 692960.0 692960 692960 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 538400 1 538400.0 538400.0 538400 538400 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699456 1 699456.0 699456.0 699456 699456 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 683712 1 683712.0 683712.0 683712 683712 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 693024 1 693024.0 693024.0 693024 693024 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 697152 1 697152.0 697152.0 697152 697152 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 703360 1 703360.0 703360.0 703360 703360 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699392 1 699392.0 699392.0 699392 699392 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 698880 1 698880.0 698880.0 698880 698880 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 690784 1 690784.0 690784.0 690784 690784 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 538848 1 538848.0 538848.0 538848 538848 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 696448 1 696448.0 696448.0 696448 696448 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 703936 1 703936.0 703936.0 703936 703936 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 548000 1 548000.0 548000.0 548000 548000 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 698208 1 698208.0 698208.0 698208 698208 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 701088 1 701088.0 701088.0 701088 701088 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 534976 1 534976.0 534976.0 534976 534976 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 702432 1 702432.0 702432.0 702432 702432 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 550912 1 550912.0 550912.0 550912 550912 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 700064 1 700064.0 700064.0 700064 700064 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 697824 1 697824.0 697824.0 697824 697824 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 682880 1 682880.0 682880.0 682880 682880 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 684448 1 684448.0 684448.0 684448 684448 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 701120 1 701120.0 701120.0 701120 701120 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 705856 1 705856.0 705856.0 705856 705856 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 700160 1 700160.0 700160.0 700160 700160 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 703744 1 703744.0 703744.0 703744 703744 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 701952 1 701952.0 701952.0 701952 701952 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 703744 1 703744.0 703744.0 703744 703744 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 697024 1 697024.0 697024.0 697024 697024 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 695232 1 695232.0 695232.0 695232 695232 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 702784 1 702784.0 702784.0 702784 702784 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699744 1 699744.0 699744.0 699744 699744 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 701600 1 701600.0 701600.0 701600 701600 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 703552 1 703552.0 703552.0 703552 703552 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 545952 1 545952.0 545952.0 545952 545952 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
