      2.2          3853024          1    3853024.0    3853024.0    3853024    3853024          0.0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0.4           685856          1     685856.0     685856.0     685856     685856          0.0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      2.1          3865088          1    3865088.0    3865088.0    3865088    3865088          0.0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0.4           695136          1     695136.0     695136.0     695136     695136          0.0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      2.1          3844352          1    3844352.0    3844352.0    3844352    3844352          0.0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0.4           703840          1     703840.0     703840.0     703840     703840          0.0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1.7          2899360          1    2899360.0    2899360.0    2899360    2899360          0.0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0.3           546592          1     546592.0     546592.0     546592     546592          0.0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      2.2          3892480          1    3892480.0    3892480.0    3892480    3892480          0.0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0.4           693152          1     693152.0     693152.0     693152     693152          0.0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      2.1          3886240          1    3886240.0    3886240.0    3886240    3886240          0.0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0.4           698112          1     698112.0     698112.0     698112     698112          0.0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
