0.1 213312 3 71104.0 69984.0 68736 74592 3084.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212800 3 70933.3 69920.0 68672 74208 2903.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214464 3 71488.0 70048.0 69376 75040 3094.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212704 3 70901.3 69632.0 68704 74368 3037.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214912 3 71637.3 70880.0 69312 74720 2782.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212864 3 70954.7 69792.0 68736 74336 2975.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214720 3 71573.3 71008.0 68960 74752 2937.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213568 3 71189.3 70464.0 68704 74400 2916.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213632 3 71210.7 70912.0 68736 73984 2636.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212064 3 70688.0 69376.0 68640 74048 2933.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 110912 3 36970.7 35840.0 35680 39392 2098.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214656 3 71552.0 70784.0 69376 74496 2645.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 111648 3 37216.0 36640.0 35360 39648 2201.3 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213440 3 71146.7 70240.0 68800 74400 2908.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213760 3 71253.3 70464.0 69536 73760 2219.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212000 3 70666.7 69216.0 68672 74112 2996.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214528 3 71509.3 70208.0 69696 74624 2709.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213056 3 71018.7 69888.0 68608 74560 3133.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213152 3 71050.7 69920.0 69504 73728 2327.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212800 3 70933.3 69536.0 68640 74624 3227.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214048 3 71349.3 70432.0 69024 74592 2895.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 160032 3 53344.0 52672.0 51616 55744 2144.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214304 3 71434.7 69920.0 69216 75168 3252.3 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213728 3 71242.7 70848.0 68672 74208 2789.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212352 3 70784.0 70112.0 68736 73504 2454.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213408 3 71136.0 70976.0 68768 73664 2451.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 215232 3 71744.0 70912.0 69184 75136 3062.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213152 3 71050.7 69760.0 68672 74720 3224.0 CUDA_KERNEL lud_perimeter(float *, int, int)
