0.1 255424 4 63856.0 62464.0 62336 68160 2871.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255712 4 63928.0 62384.0 62272 68672 3163.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256960 4 64240.0 63104.0 62336 68416 2815.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256480 4 64120.0 63136.0 62400 67808 2483.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256192 4 64048.0 62608.0 62336 68640 3066.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256672 4 64168.0 62752.0 62272 68896 3167.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 132128 4 33032.0 32032.0 31520 36544 2355.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255776 4 63944.0 62704.0 62304 68064 2766.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 132032 4 33008.0 32320.0 31616 35776 1875.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255264 4 63816.0 62736.0 62272 67520 2497.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256192 4 64048.0 62832.0 62368 68160 2763.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 258240 4 64560.0 63328.0 62656 68928 2930.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255904 4 63976.0 62816.0 62304 67968 2687.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256000 4 64000.0 63072.0 62272 67584 2422.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256576 4 64144.0 62816.0 62368 68576 2967.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255552 4 63888.0 62592.0 62304 68064 2793.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255488 4 63872.0 62720.0 62304 67744 2604.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 192352 4 48088.0 47232.0 46720 51168 2067.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256096 4 64024.0 63040.0 62336 67680 2463.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255872 4 63968.0 62800.0 62368 67904 2655.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255872 4 63968.0 62848.0 62304 67872 2640.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256288 4 64072.0 62736.0 62304 68512 2979.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256672 4 64168.0 62832.0 62432 68576 2957.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255168 4 63792.0 62320.0 62304 68224 2954.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254432 4 63608.0 62416.0 62272 67328 2481.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257088 4 64272.0 62848.0 62368 69024 3197.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255936 4 63984.0 62864.0 62336 67872 2627.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254656 4 63664.0 62336.0 62272 67712 2699.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255904 4 63976.0 62720.0 62528 67936 2642.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255712 4 63928.0 62784.0 62368 67776 2591.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254688 4 63672.0 62400.0 62272 67616 2630.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256352 4 64088.0 62768.0 62368 68448 2912.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 258336 4 64584.0 63184.0 62752 69216 3096.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256224 4 64056.0 62624.0 62400 68576 3017.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254976 4 63744.0 62320.0 62272 68064 2880.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 191040 4 47760.0 46832.0 46720 50656 1931.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256832 4 64208.0 62768.0 62592 68704 2998.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256768 4 64192.0 62944.0 62272 68608 2961.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255424 4 63856.0 62672.0 62368 67712 2575.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255328 4 63832.0 62624.0 62304 67776 2641.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256800 4 64200.0 62912.0 62368 68608 2972.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255360 4 63840.0 62768.0 62304 67520 2484.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255872 4 63968.0 62768.0 62240 68096 2792.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256416 4 64104.0 62944.0 62368 68160 2718.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255616 4 63904.0 62720.0 62336 67840 2648.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254848 4 63712.0 62368.0 62336 67776 2709.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 190912 4 47728.0 46912.0 46848 50240 1675.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255872 4 63968.0 62720.0 62400 68032 2726.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256352 4 64088.0 62672.0 62400 68608 3024.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256896 4 64224.0 62752.0 62336 69056 3240.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256224 4 64056.0 62480.0 62368 68896 3227.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255808 4 63952.0 62544.0 62272 68448 3000.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255808 4 63952.0 62944.0 62336 67584 2439.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256768 4 64192.0 62736.0 62400 68896 3141.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256416 4 64104.0 62640.0 62304 68832 3163.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255712 4 63928.0 62512.0 62304 68384 2974.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254432 4 63608.0 62320.0 62304 67488 2586.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255808 4 63952.0 62800.0 62272 67936 2690.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255808 4 63952.0 62832.0 62368 67776 2579.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256928 4 64232.0 62896.0 62368 68768 3039.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255520 4 63880.0 62752.0 62336 67680 2541.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255872 4 63968.0 62704.0 62240 68224 2861.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255808 4 63952.0 62640.0 62240 68288 2905.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254816 4 63704.0 62352.0 62304 67808 2736.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255840 4 63960.0 62768.0 62240 68064 2773.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256672 4 64168.0 62656.0 62400 68960 3196.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256000 4 64000.0 62912.0 62368 67808 2574.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255840 4 63960.0 62416.0 62304 68704 3163.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257152 4 64288.0 63104.0 62368 68576 2880.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255744 4 63936.0 62640.0 62336 68128 2799.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255616 4 63904.0 62720.0 62368 67808 2621.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256032 4 64008.0 62800.0 62368 68064 2731.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255584 4 63896.0 62864.0 62304 67552 2457.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256608 4 64152.0 62864.0 62368 68512 2928.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255648 4 63912.0 62352.0 62304 68640 3152.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255968 4 63992.0 63008.0 62400 67552 2399.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254784 4 63696.0 62560.0 62272 67392 2474.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255584 4 63896.0 62384.0 62336 68480 3056.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254976 4 63744.0 62656.0 62272 67392 2447.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 132288 4 33072.0 32240.0 32064 35744 1785.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254912 4 63728.0 62560.0 62304 67488 2514.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256800 4 64200.0 62800.0 62400 68800 3089.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256448 4 64112.0 63152.0 62336 67808 2493.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255680 4 63920.0 62448.0 62272 68512 3063.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256608 4 64152.0 62752.0 62368 68736 3064.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257344 4 64336.0 63248.0 63168 67680 2230.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 132576 4 33144.0 32240.0 32000 36096 1972.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254624 4 63656.0 62368.0 62336 67552 2597.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257248 4 64312.0 63040.0 62368 68800 3011.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256640 4 64160.0 63152.0 62560 67776 2429.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256128 4 64032.0 62896.0 62304 68032 2685.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256576 4 64144.0 62752.0 62336 68736 3083.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256000 4 64000.0 62960.0 62368 67712 2492.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257632 4 64408.0 63264.0 62368 68736 2916.2 CUDA_KERNEL lud_diagonal(float *, int, int)
