37,0 113.663.808 127 894.990,0 630.944,0 8.704 2.680.096 825.976,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.752.160 127 887.812,0 607.808,0 7.168 2.690.624 829.011,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 109.046.112 127 858.630,0 601.984,0 5.344 2.686.016 839.290,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.961.280 127 850.088,0 600.736,0 4.768 2.678.112 840.490,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 108.292.928 127 852.700,0 608.288,0 4.928 2.703.360 846.118,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 109.764.512 127 864.287,0 592.224,0 5.376 2.705.216 836.192,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.982.112 127 889.622,0 609.536,0 7.168 2.695.360 827.770,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 114.159.520 127 898.893,0 639.488,0 8.512 2.696.288 827.298,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.424.576 127 893.106,0 643.104,0 7.296 2.651.840 825.338,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.963.360 127 842.231,0 459.104,0 4.704 2.729.664 844.765,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.816.320 127 888.317,0 589.184,0 6.656 2.671.136 825.133,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.020.992 127 889.929,0 628.576,0 6.592 2.664.512 825.759,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.697.120 127 824.386,0 450.848,0 4.768 2.669.184 847.196,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.684.928 127 887.282,0 606.656,0 6.848 2.706.528 827.498,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 114.695.520 127 903.114,0 639.968,0 6.848 2.713.600 829.597,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.443.936 127 838.141,0 455.968,0 4.800 2.694.944 844.220,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.507.008 127 822.889,0 399.552,0 4.864 2.711.936 850.389,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 105.330.720 127 829.375,0 444.832,0 5.248 2.661.152 842.265,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.987.456 127 897.539,0 638.240,0 8.384 2.690.272 825.179,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.672.704 127 824.194,0 452.416,0 4.960 2.674.400 837.986,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.746.208 127 895.639,0 632.128,0 8.512 2.670.496 826.401,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.342.272 127 876.710,0 601.248,0 5.408 2.702.144 829.148,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.018.368 127 889.908,0 593.344,0 6.688 2.694.784 830.139,0 CUDA_KERNEL lud_internal(float *, int, int)
