2,0 8.310.848 128 64.928,0 65.696,0 61.216 71.584 3.194,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.410.848 128 65.709,0 67.408,0 62.304 71.648 2.785,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.347.136 128 65.212,0 67.104,0 61.280 71.680 3.239,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.331.840 128 65.092,0 67.296,0 61.280 71.712 3.070,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.395.936 128 65.593,0 67.504,0 62.336 70.880 2.754,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.763.840 128 52.842,0 43.776,0 39.360 70.944 13.321,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.308.480 128 64.910,0 65.264,0 61.152 70.880 2.973,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.350.208 128 65.236,0 67.072,0 61.216 71.008 3.015,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.391.136 128 65.555,0 67.376,0 62.272 70.464 2.712,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.397.120 128 65.602,0 67.712,0 62.272 71.456 2.670,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.320.000 128 65.000,0 65.104,0 61.184 71.232 3.051,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.311.520 128 64.933,0 66.144,0 61.152 71.328 3.237,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.200.000 128 64.062,0 63.936,0 39.232 71.040 5.329,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.406.784 128 65.678,0 66.992,0 61.248 70.944 2.667,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.335.328 128 65.119,0 65.040,0 61.248 70.528 3.099,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.305.792 128 64.889,0 64.720,0 61.216 71.520 3.029,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.080.992 128 55.320,0 49.888,0 46.720 70.688 9.618,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.416.224 128 57.939,0 64.128,0 38.624 71.200 12.511,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.395.168 128 65.587,0 67.488,0 62.272 70.496 2.788,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.391.168 128 65.556,0 67.104,0 62.304 72.128 2.853,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.293.056 128 64.789,0 65.664,0 61.184 71.328 3.126,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.311.904 128 64.936,0 63.792,0 61.184 71.840 3.248,0 CUDA_KERNEL lud_diagonal(float *, int, int)
