8,0 14.059.008 200 70.295,0 69.984,0 21.568 120.224 48.686,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 16.777.376 200 83.886,0 105.168,0 21.408 268.576 64.337,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.030.368 200 70.151,0 69.872,0 21.568 119.904 48.572,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.101.728 200 70.508,0 70.304,0 21.440 120.736 49.008,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.342.880 200 71.714,0 71.712,0 21.664 122.144 49.263,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.031.232 200 70.156,0 69.696,0 21.568 120.192 48.558,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.073.696 200 70.368,0 70.080,0 21.728 120.128 48.607,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.054.720 200 70.273,0 69.712,0 21.792 120.064 48.463,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 13.917.632 200 69.588,0 69.424,0 21.536 118.784 48.017,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.086.272 200 70.431,0 69.888,0 21.696 120.192 48.689,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 18.789.984 200 93.949,0 88.576,0 26.304 175.264 65.485,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 23.532.256 200 117.661,0 108.416,0 31.968 235.168 83.973,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.283.296 200 71.416,0 71.168,0 21.728 122.432 49.355,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 23.175.200 200 115.876,0 91.360,0 24.896 235.680 85.938,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 16.196.832 200 80.984,0 76.464,0 22.400 161.216 57.041,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 20.579.008 200 102.895,0 83.920,0 22.464 235.200 77.975,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 14.281.952 200 71.409,0 71.456,0 21.728 121.504 48.944,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 20.333.376 200 101.666,0 83.312,0 21.664 238.432 76.374,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.744.064 200 88.720,0 78.160,0 22.496 175.680 63.931,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 21.454.048 200 107.270,0 110.624,0 22.720 235.072 77.847,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 18.242.656 200 91.213,0 78.656,0 22.624 175.520 65.313,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.074.240 200 70.371,0 70.240,0 21.664 120.064 48.679,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 18.216.256 200 91.081,0 78.512,0 22.464 175.648 65.361,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 15.440.192 200 77.201,0 73.792,0 21.760 133.504 51.267,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.259.488 200 71.297,0 71.008,0 21.760 121.728 49.190,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 26.778.976 200 133.894,0 110.800,0 32.448 236.640 92.629,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.195.008 200 70.975,0 70.784,0 21.600 121.120 48.601,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 20.626.464 200 103.132,0 102.880,0 32.128 175.200 70.896,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.619.200 200 108.096,0 83.904,0 22.496 234.688 78.001,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.659.968 200 88.299,0 75.280,0 21.440 175.648 63.704,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.711.712 200 108.558,0 83.248,0 22.592 235.328 81.699,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
