1,0 90.861.120 2.000 45.430,0 40.992,0 40.032 101.472 12.297,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.782.080 2.000 43.391,0 41.856,0 41.056 104.288 7.182,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.321.600 2.000 42.660,0 41.376,0 40.736 103.104 6.290,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.568.224 2.000 44.784,0 42.080,0 40.960 782.752 18.322,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 83.750.272 2.000 41.875,0 40.576,0 39.712 100.256 6.674,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 83.226.784 2.000 41.613,0 40.256,0 39.296 99.360 6.418,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.194.112 2.000 44.097,0 43.328,0 39.968 103.456 5.402,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.797.792 2.000 44.398,0 42.720,0 41.952 105.824 7.037,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 83.233.440 2.000 41.616,0 40.960,0 39.296 99.904 5.334,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.799.552 2.000 44.899,0 42.304,0 41.504 103.584 9.790,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.192.352 2.000 43.596,0 42.400,0 39.488 100.544 6.541,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.610.752 2.000 45.805,0 45.600,0 42.016 105.920 5.838,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.105.376 2.000 44.552,0 42.688,0 40.256 102.016 8.444,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.652.608 2.000 42.326,0 40.768,0 40.000 100.672 7.260,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.092.576 2.000 42.546,0 40.928,0 39.200 101.312 8.169,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.380.672 2.000 42.190,0 40.928,0 39.968 102.240 6.112,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.127.008 2.000 42.063,0 40.320,0 39.488 1.025.856 22.870,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.870.144 2.000 42.935,0 41.152,0 40.256 101.920 7.857,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.839.520 2.000 43.919,0 42.912,0 41.280 106.944 6.236,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.869.696 2.000 42.934,0 42.944,0 40.480 74.816 3.509,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.293.088 2.000 42.146,0 40.384,0 39.520 1.037.312 23.129,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.408.256 2.000 42.204,0 41.024,0 39.328 826.400 18.447,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.664.864 2.000 43.332,0 42.144,0 41.312 104.320 5.675,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
