 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)     GridXYZ         BlockXYZ                   Name              
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  --------------  --------------  --------------------------------
      0,0           66.464          1     66.464,0     66.464,0     66.464     66.464          0,0    61    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           64.384          1     64.384,0     64.384,0     64.384     64.384          0,0    26   26    1    16   16    1  lud_internal(float *, int, int) 
      0,0           63.776          1     63.776,0     63.776,0     63.776     63.776          0,0    55    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           62.912          1     62.912,0     62.912,0     62.912     62.912          0,0    56    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           62.592          1     62.592,0     62.592,0     62.592     62.592          0,0    54    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           62.368          1     62.368,0     62.368,0     62.368     62.368          0,0    51    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           61.984          1     61.984,0     61.984,0     61.984     61.984          0,0    52    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           61.888          1     61.888,0     61.888,0     61.888     61.888          0,0    53    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           61.856          1     61.856,0     61.856,0     61.856     61.856          0,0    49    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           60.896          1     60.896,0     60.896,0     60.896     60.896          0,0    50    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           60.544          1     60.544,0     60.544,0     60.544     60.544          0,0    25   25    1    16   16    1  lud_internal(float *, int, int) 
      0,0           56.384          1     56.384,0     56.384,0     56.384     56.384          0,0    46    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           56.192          1     56.192,0     56.192,0     56.192     56.192          0,0    44    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           56.160          1     56.160,0     56.160,0     56.160     56.160          0,0    43    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           56.096          1     56.096,0     56.096,0     56.096     56.096          0,0    47    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           55.936          1     55.936,0     55.936,0     55.936     55.936          0,0    41    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           55.904          1     55.904,0     55.904,0     55.904     55.904          0,0    42    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           55.840          1     55.840,0     55.840,0     55.840     55.840          0,0    48    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           55.776          1     55.776,0     55.776,0     55.776     55.776          0,0    45    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           55.392          1     55.392,0     55.392,0     55.392     55.392          0,0    24   24    1    16   16    1  lud_internal(float *, int, int) 
      0,0           52.096          1     52.096,0     52.096,0     52.096     52.096          0,0    23   23    1    16   16    1  lud_internal(float *, int, int) 
      0,0           52.032          1     52.032,0     52.032,0     52.032     52.032          0,0    39    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           51.968          1     51.968,0     51.968,0     51.968     51.968          0,0    37    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           51.936          1     51.936,0     51.936,0     51.936     51.936          0,0    36    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           51.680          1     51.680,0     51.680,0     51.680     51.680          0,0    34    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           51.680          1     51.680,0     51.680,0     51.680     51.680          0,0    38    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           51.616          1     51.616,0     51.616,0     51.616     51.616          0,0    35    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           51.552          1     51.552,0     51.552,0     51.552     51.552          0,0    33    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           51.456          1     51.456,0     51.456,0     51.456     51.456          0,0    40    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           48.544          1     48.544,0     48.544,0     48.544     48.544          0,0    31    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           48.032          1     48.032,0     48.032,0     48.032     48.032          0,0    25    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           47.872          1     47.872,0     47.872,0     47.872     47.872          0,0    22   22    1    16   16    1  lud_internal(float *, int, int) 
      0,0           47.872          1     47.872,0     47.872,0     47.872     47.872          0,0    32    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           47.840          1     47.840,0     47.840,0     47.840     47.840          0,0    28    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           47.680          1     47.680,0     47.680,0     47.680     47.680          0,0    29    1    1    32    1    1  lud_perimeter(float *, int, int)
