7,0 14.904.288 2 7.452.144,0 7.452.144,0 7.448.192 7.456.096 5.589,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.997.408 2 2.498.704,0 2.498.704,0 1.908.032 3.089.376 835.336,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.995.424 2 2.497.712,0 2.497.712,0 1.908.608 3.086.816 833.118,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.997.248 2 2.498.624,0 2.498.624,0 1.907.872 3.089.376 835.449,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.012.480 2 2.506.240,0 2.506.240,0 1.908.992 3.103.488 844.636,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.010.848 2 2.505.424,0 2.505.424,0 1.913.568 3.097.280 837.010,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.006.752 2 2.503.376,0 2.503.376,0 1.904.256 3.102.496 847.283,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.999.104 2 2.499.552,0 2.499.552,0 1.908.384 3.090.720 836.037,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.007.680 2 2.503.840,0 2.503.840,0 1.902.176 3.105.504 850.881,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 6.972.672 2 3.486.336,0 3.486.336,0 2.413.824 4.558.848 1.516.761,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 10.557.600 2 5.278.800,0 5.278.800,0 3.208.736 7.348.864 2.927.512,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.014.720 2 2.507.360,0 2.507.360,0 1.914.144 3.100.576 838.934,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.999.456 2 2.499.728,0 2.499.728,0 1.909.440 3.090.016 834.793,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.995.008 2 2.497.504,0 2.497.504,0 1.908.640 3.086.368 832.779,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.002.880 2 2.501.440,0 2.501.440,0 1.910.336 3.092.544 835.947,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.016.288 2 2.508.144,0 2.508.144,0 1.920.896 3.095.392 830.494,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.007.936 2 2.503.968,0 2.503.968,0 1.908.800 3.099.136 841.694,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.993.664 2 2.496.832,0 2.496.832,0 1.905.312 3.088.352 836.535,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 8.733.184 2 4.366.592,0 4.366.592,0 3.214.464 5.518.720 1.629.355,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 6.288.064 2 3.144.032,0 3.144.032,0 3.083.328 3.204.736 85.848,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.012.384 2 2.506.192,0 2.506.192,0 1.914.816 3.097.568 836.332,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.015.264 2 2.507.632,0 2.507.632,0 1.918.112 3.097.152 833.707,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
