0,0 21.280 2 10.640,0 10.640,0 6.272 15.008 6.177,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.536 2 12.768,0 12.768,0 9.088 16.448 5.204,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.480 2 10.240,0 10.240,0 6.208 14.272 5.702,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 22.208 2 11.104,0 11.104,0 7.968 14.240 4.435,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.768 2 10.384,0 10.384,0 6.368 14.400 5.679,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.864 2 10.432,0 10.432,0 6.368 14.496 5.747,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.832 2 10.416,0 10.416,0 6.560 14.272 5.453,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 26.656 2 13.328,0 13.328,0 9.280 17.376 5.724,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.608 2 10.304,0 10.304,0 6.272 14.336 5.702,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.120 2 12.560,0 12.560,0 8.224 16.896 6.132,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.960 2 10.480,0 10.480,0 6.208 14.752 6.041,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.024 2 10.512,0 10.512,0 6.368 14.656 5.860,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.832 2 10.416,0 10.416,0 6.368 14.464 5.724,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.384 2 10.192,0 10.192,0 6.176 14.208 5.679,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.640 2 10.320,0 10.320,0 6.336 14.304 5.634,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.736 2 10.368,0 10.368,0 6.400 14.336 5.611,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.480 2 10.240,0 10.240,0 6.368 14.112 5.475,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.216 2 10.608,0 10.608,0 6.400 14.816 5.951,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.408 2 10.704,0 10.704,0 6.368 15.040 6.132,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.344 2 12.672,0 12.672,0 8.384 16.960 6.064,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.320 2 10.160,0 10.160,0 6.400 13.920 5.317,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.024 2 10.512,0 10.512,0 6.656 14.368 5.453,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.088 2 10.544,0 10.544,0 6.368 14.720 5.905,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.480 2 10.240,0 10.240,0 6.240 14.240 5.656,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.736 2 8.368,0 8.368,0 4.576 12.160 5.362,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.480 2 10.240,0 10.240,0 6.272 14.208 5.611,0 CUDA_KERNEL Fan1(float *, float *, int, int)
