4,0 14.901.664 127 117.335,0 109.280,0 71.680 206.464 37.517,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.879.168 127 117.158,0 108.608,0 71.552 206.144 37.436,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.798.880 127 116.526,0 107.104,0 69.888 206.400 38.280,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.784.992 127 116.417,0 106.976,0 70.592 207.072 38.183,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.877.632 127 117.146,0 109.216,0 70.432 207.328 37.871,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.895.808 127 117.289,0 108.736,0 71.040 206.176 37.517,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.749.888 127 116.140,0 107.040,0 70.368 207.520 37.923,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.838.752 127 116.840,0 108.416,0 70.336 205.984 38.058,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.863.200 127 117.033,0 108.096,0 70.368 206.304 37.648,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.158.976 127 111.488,0 106.208,0 47.104 206.304 44.047,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.773.408 127 116.326,0 107.840,0 71.168 206.752 38.285,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.777.056 127 116.354,0 107.072,0 69.824 204.928 38.155,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.773.728 127 116.328,0 106.432,0 70.432 206.464 38.213,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.846.976 127 116.905,0 108.672,0 70.432 206.176 37.871,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.887.968 127 117.228,0 108.096,0 71.328 206.240 37.408,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 7.851.808 127 61.825,0 58.080,0 37.472 115.072 19.645,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.743.904 127 116.093,0 106.944,0 70.720 207.360 38.101,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.886.656 127 117.217,0 108.576,0 71.552 206.656 37.341,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.871.680 127 117.099,0 108.544,0 71.104 206.432 37.493,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 19.780.256 127 155.750,0 106.720,0 69.856 3.048.384 323.705,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.757.056 127 116.197,0 106.336,0 70.432 207.232 38.045,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.887.392 127 117.223,0 108.864,0 71.584 206.240 37.464,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.754.016 127 116.173,0 106.464,0 70.464 205.440 38.134,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.767.264 127 116.277,0 106.816,0 70.496 206.112 38.049,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.879.040 127 117.157,0 108.416,0 72.256 206.560 37.383,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.823.232 127 116.718,0 108.096,0 70.080 205.888 37.845,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.763.680 127 116.249,0 106.848,0 70.912 205.856 38.101,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.897.536 127 117.303,0 108.512,0 71.424 205.888 37.451,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.759.392 127 116.215,0 107.200,0 70.592 206.208 37.980,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.765.120 127 116.260,0 106.688,0 69.664 207.552 38.118,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.880.224 127 117.167,0 108.224,0 71.328 205.568 37.293,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.767.776 127 116.281,0 108.736,0 70.496 206.880 38.149,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.769.312 127 116.293,0 106.944,0 70.208 206.688 38.096,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.432.704 127 58.525,0 54.016,0 36.352 105.696 18.436,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.901.152 127 117.331,0 109.504,0 72.096 206.400 37.569,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.418.176 127 113.528,0 107.072,0 46.080 205.216 41.551,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.428.640 127 58.493,0 54.240,0 36.384 103.104 18.622,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.781.632 127 116.390,0 107.264,0 70.528 205.440 38.022,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.748.480 127 116.129,0 107.328,0 69.984 207.712 38.035,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.436.864 127 58.558,0 54.112,0 36.128 105.280 18.450,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.772.640 127 116.320,0 107.072,0 70.784 206.592 38.045,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 11.838.528 127 93.216,0 69.920,0 42.432 2.191.648 201.728,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.431.488 127 58.515,0 54.176,0 36.064 103.136 18.627,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.933.888 127 70.345,0 65.184,0 43.168 125.152 22.294,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.761.824 127 116.234,0 106.976,0 70.496 207.072 38.131,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.718.752 127 108.021,0 107.296,0 46.240 206.144 47.176,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.817.440 127 116.672,0 108.608,0 70.208 206.208 38.176,0 CUDA_KERNEL lud_perimeter(float *, int, int)
