39,0 134.048.416 127 1.055.499,0 803.296,0 10.016 3.178.944 928.125,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 136.996.224 127 1.078.710,0 730.880,0 8.480 4.001.056 999.018,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.615.424 127 1.028.467,0 741.440,0 9.184 3.171.840 931.095,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.251.936 127 1.049.227,0 785.632,0 9.888 3.201.248 923.569,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.844.000 127 1.030.267,0 739.552,0 9.344 3.181.792 931.849,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 131.524.960 127 1.035.629,0 729.504,0 9.312 3.148.608 931.694,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.012.000 127 1.047.338,0 781.312,0 10.048 3.129.600 922.687,0 CUDA_KERNEL lud_internal(float *, int, int)
34,0 133.019.136 127 1.047.394,0 795.712,0 9.440 3.126.048 925.003,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 131.035.264 127 1.031.773,0 733.248,0 9.280 3.149.152 933.211,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.149.376 127 1.048.420,0 799.840,0 10.112 3.155.456 923.316,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.245.024 127 1.033.425,0 734.944,0 9.376 3.192.448 930.654,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.636.544 127 1.028.634,0 733.472,0 9.344 3.176.832 928.750,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.366.336 127 1.050.128,0 790.720,0 10.304 3.164.352 925.939,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.551.712 127 1.035.840,0 781.760,0 9.856 3.145.248 934.434,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.659.232 127 1.036.686,0 751.008,0 9.600 3.176.736 937.531,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 70.611.584 127 555.996,0 418.560,0 5.280 1.636.608 488.209,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.918.208 127 1.046.600,0 782.432,0 11.008 3.159.776 922.671,0 CUDA_KERNEL lud_internal(float *, int, int)
40,0 141.870.144 127 1.117.087,0 721.824,0 8.032 5.650.336 1.188.156,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 63.854.880 127 502.794,0 376.448,0 5.120 1.528.992 444.454,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.158.784 127 1.032.746,0 739.744,0 9.184 3.168.352 933.445,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.193.984 127 1.025.149,0 725.632,0 9.344 3.160.064 933.443,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 71.032.736 127 559.312,0 425.248,0 5.376 1.706.976 492.516,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.269.536 127 1.033.618,0 743.744,0 9.440 3.183.424 936.106,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 79.592.384 127 626.711,0 475.136,0 5.888 1.911.328 555.200,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 63.765.600 127 502.091,0 377.664,0 5.024 1.528.576 443.713,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 79.827.360 127 628.561,0 470.592,0 6.016 1.916.640 552.970,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.446.400 127 1.027.137,0 728.896,0 9.280 3.164.672 935.208,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 127.939.584 127 1.007.398,0 725.152,0 6.752 3.164.960 932.221,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 132.745.632 127 1.045.241,0 792.800,0 9.440 3.178.496 936.990,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.139.264 127 1.040.466,0 807.904,0 9.792 3.165.088 938.466,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.020.448 127 1.031.657,0 735.264,0 9.280 3.178.976 931.551,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 132.316.544 127 1.041.862,0 734.560,0 9.472 3.180.608 938.854,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.226.368 127 1.041.152,0 793.792,0 9.600 3.163.488 940.112,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 91.508.224 127 720.537,0 514.528,0 6.432 2.191.776 648.800,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 71.161.952 127 560.330,0 422.432,0 5.312 1.692.416 492.633,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.461.120 127 1.027.252,0 730.368,0 8.064 3.181.056 933.267,0 CUDA_KERNEL lud_internal(float *, int, int)
41,0 152.703.648 127 1.202.390,0 724.832,0 6.912 21.484.672 2.069.015,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 129.983.904 127 1.023.495,0 727.616,0 7.968 3.166.560 931.146,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 63.793.728 127 502.312,0 379.616,0 5.024 1.505.600 443.477,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 63.800.160 127 502.363,0 372.000,0 4.992 1.536.128 444.086,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 71.182.016 127 560.488,0 421.408,0 5.376 1.704.160 493.058,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 92.421.792 127 727.730,0 548.256,0 6.400 2.189.792 645.050,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.709.504 127 1.037.082,0 789.920,0 9.536 3.172.608 937.532,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.080.512 127 1.040.004,0 786.688,0 9.856 3.187.424 943.980,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.370.976 127 1.042.291,0 778.720,0 9.696 3.211.744 945.206,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 63.771.392 127 502.136,0 375.424,0 4.928 1.520.992 443.974,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 71.166.592 127 560.366,0 433.504,0 5.472 1.690.816 493.191,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 70.517.984 127 555.259,0 418.272,0 5.248 1.686.336 488.413,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 128.657.696 127 1.013.052,0 728.928,0 7.808 3.164.000 927.727,0 CUDA_KERNEL lud_internal(float *, int, int)
