2,0 8.217.152 128 64.196,0 64.160,0 63.520 72.160 889,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 4.176.416 128 32.628,0 32.512,0 32.192 39.456 658,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.112.000 128 63.375,0 62.976,0 62.304 71.520 1.060,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.185.984 128 63.953,0 63.776,0 63.520 71.552 771,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.208.672 128 64.130,0 64.240,0 63.456 71.840 810,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.088.224 128 63.189,0 62.928,0 62.240 71.712 1.188,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.077.664 128 63.106,0 62.672,0 62.272 72.512 1.110,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.197.376 128 64.042,0 63.680,0 63.488 71.360 807,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.102.688 128 63.302,0 63.184,0 62.208 72.224 1.047,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.100.032 128 63.281,0 63.024,0 62.336 71.648 1.050,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.235.712 128 64.341,0 64.336,0 63.456 72.128 763,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.148.384 128 63.659,0 63.584,0 62.336 71.584 1.036,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.132.576 128 63.535,0 63.232,0 62.208 72.672 1.065,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.213.056 128 64.164,0 64.144,0 63.456 71.744 845,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.101.536 128 63.293,0 62.896,0 62.304 72.384 1.105,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.086.432 128 63.175,0 62.848,0 62.208 72.576 1.121,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.197.344 128 64.041,0 63.968,0 63.488 72.000 776,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.169.664 128 63.825,0 63.744,0 63.168 72.256 829,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.103.648 128 63.309,0 63.168,0 62.272 72.864 1.078,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.133.888 128 32.296,0 32.320,0 31.840 37.952 561,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.222.176 128 64.235,0 64.144,0 63.552 72.672 799,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.794.624 128 60.895,0 62.880,0 39.808 71.744 7.305,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.117.856 128 32.170,0 32.096,0 31.776 36.096 395,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.113.440 128 63.386,0 63.344,0 62.368 72.576 1.042,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.089.248 128 63.197,0 62.864,0 62.240 71.936 1.102,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.135.328 128 32.307,0 32.384,0 31.840 36.576 463,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.100.640 128 63.286,0 62.992,0 62.272 72.544 1.101,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.922.592 128 38.457,0 38.384,0 37.856 43.520 648,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.119.584 128 32.184,0 32.160,0 31.808 35.808 354,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.963.040 128 38.773,0 38.816,0 38.176 43.200 478,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.081.792 128 63.139,0 62.880,0 62.240 72.128 1.065,0 CUDA_KERNEL lud_diagonal(float *, int, int)
