6,0 363.136 8 45.392,0 47.264,0 18.624 64.864 14.281,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.832 8 45.604,0 46.288,0 17.888 71.488 15.885,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 363.808 8 45.476,0 47.040,0 17.984 67.840 15.104,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 370.528 8 46.316,0 47.200,0 18.368 73.088 16.031,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 373.440 8 46.680,0 46.880,0 18.912 73.376 16.344,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.576 8 45.572,0 46.944,0 18.432 69.504 15.249,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 359.808 8 44.976,0 46.272,0 18.528 66.560 14.575,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 361.152 8 45.144,0 46.256,0 17.280 65.568 14.911,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 361.472 8 45.184,0 47.120,0 19.104 65.056 14.257,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 360.992 8 45.124,0 46.864,0 17.440 66.528 14.954,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 368.672 8 46.084,0 45.952,0 18.560 72.192 16.004,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 366.400 8 45.800,0 46.880,0 17.888 70.272 15.703,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 366.368 8 45.796,0 46.576,0 17.600 70.272 15.662,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 365.632 8 45.704,0 47.184,0 18.656 69.664 15.117,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 359.520 8 44.940,0 46.432,0 17.152 66.688 14.788,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 370.816 8 46.352,0 47.440,0 19.456 73.408 15.953,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 370.048 8 46.256,0 46.320,0 18.688 75.424 16.794,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 372.160 8 46.520,0 47.072,0 21.376 73.248 15.508,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 369.952 8 46.244,0 47.520,0 19.968 69.216 14.876,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 360.896 8 45.112,0 45.888,0 18.144 68.704 15.319,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 359.968 8 44.996,0 46.624,0 17.472 66.656 14.805,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
