0,0 342.176 3 114.058,0 112.288,0 110.048 119.840 5.130,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 332.416 3 110.805,0 110.112,0 109.600 112.704 1.664,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 334.592 3 111.530,0 111.456,0 110.240 112.896 1.329,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 344.896 3 114.965,0 114.208,0 111.808 118.880 3.596,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 345.632 3 115.210,0 112.800,0 111.168 121.664 5.648,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 335.264 3 111.754,0 112.096,0 110.304 112.864 1.313,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 344.704 3 114.901,0 114.336,0 112.320 118.048 2.905,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 332.672 3 110.890,0 111.872,0 108.544 112.256 2.041,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.168 3 110.389,0 110.240,0 108.928 112.000 1.541,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 334.688 3 111.562,0 111.936,0 110.368 112.384 1.058,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 345.440 3 115.146,0 113.152,0 110.624 121.664 5.784,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.376 3 111.125,0 111.392,0 110.496 111.488 547,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 340.000 3 113.333,0 111.232,0 108.512 120.256 6.147,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 328.864 3 109.621,0 110.048,0 108.576 110.240 910,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 329.216 3 109.738,0 109.536,0 108.672 111.008 1.181,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.840 3 110.613,0 109.792,0 109.568 112.480 1.620,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 339.008 3 113.002,0 113.760,0 108.384 116.864 4.290,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 342.752 3 114.250,0 111.936,0 109.632 121.184 6.114,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.200 3 110.400,0 108.800,0 107.680 114.720 3.782,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 335.008 3 111.669,0 111.392,0 111.008 112.608 835,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 340.480 3 113.493,0 112.192,0 108.128 120.160 6.120,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.040 3 110.346,0 109.728,0 109.440 111.872 1.328,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 347.040 3 115.680,0 112.000,0 111.712 123.328 6.624,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
