36,0 3.574.684.096 6.000 595.780,0 584.320,0 580.352 2.442.048 77.084,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.586.497.824 6.000 597.749,0 584.736,0 580.736 2.459.232 82.675,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.615.905.728 6.000 602.651,0 584.384,0 579.840 2.766.816 108.753,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.574.778.400 6.000 595.796,0 584.704,0 580.320 2.517.472 80.654,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.634.059.808 6.000 605.676,0 584.256,0 580.064 3.747.616 115.587,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.660.282.336 6.000 610.047,0 584.032,0 579.616 3.983.136 131.116,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.575.071.360 6.000 595.845,0 584.672,0 580.512 2.517.856 76.521,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.610.639.392 6.000 601.773,0 584.000,0 579.872 2.917.216 106.644,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.565.639.200 6.000 594.273,0 584.608,0 580.384 2.463.808 62.886,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.561.674.912 6.000 593.612,0 584.032,0 579.680 2.229.952 66.121,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.573.985.344 6.000 595.664,0 585.152,0 580.800 2.420.512 69.943,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.573.271.872 6.000 595.545,0 584.320,0 579.840 2.458.976 77.121,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.558.489.312 6.000 593.081,0 583.712,0 579.136 2.458.048 73.200,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.585.130.784 6.000 597.521,0 584.032,0 580.288 2.454.368 91.251,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.587.718.400 6.000 597.953,0 584.224,0 580.000 2.386.688 87.336,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.574.774.528 6.000 595.795,0 583.744,0 578.784 2.505.952 82.758,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.582.201.376 6.000 597.033,0 584.672,0 580.448 2.469.440 80.887,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.638.694.240 6.000 606.449,0 585.440,0 581.280 3.651.424 115.672,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.564.256.288 6.000 594.042,0 584.096,0 579.008 2.508.768 71.847,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.563.202.400 6.000 593.867,0 583.744,0 578.400 2.460.800 71.501,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.572.561.344 6.000 595.426,0 584.896,0 579.936 2.471.104 73.684,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.651.609.920 6.000 608.601,0 584.096,0 580.064 4.053.888 132.238,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.574.180.608 6.000 595.696,0 584.384,0 578.944 2.806.528 86.798,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.616.327.232 6.000 602.721,0 584.096,0 578.848 4.304.576 121.262,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.568.010.016 6.000 594.668,0 584.448,0 579.456 2.504.992 69.044,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.587.551.968 6.000 597.925,0 584.128,0 580.064 3.007.520 89.272,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
