1.2 3034624 12 252885.3 271440.0 193440 310016 49760.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035648 12 252970.7 271664.0 193568 309568 49955.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037248 12 253104.0 271712.0 193440 309600 49866.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036800 12 253066.7 271440.0 194048 309280 49869.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2361760 12 196813.3 215696.0 145696 245536 43416.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036032 12 253002.7 271264.0 193824 309920 49899.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038720 12 253226.7 272176.0 193472 309824 49958.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037312 12 253109.3 271648.0 193600 310208 49799.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035296 12 252941.3 271664.0 193696 309792 49959.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038016 12 253168.0 272320.0 193792 309920 50020.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035840 12 252986.7 271504.0 193888 309664 49960.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3012224 12 251018.7 263472.0 185184 309568 50615.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3040448 12 253370.7 272160.0 193728 310528 50022.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038528 12 253210.7 272080.0 193376 310048 50109.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036896 12 253074.7 272224.0 193792 309312 49840.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3040576 12 253381.3 272480.0 193632 309600 49858.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3039872 12 253322.7 272304.0 193856 309792 49919.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036960 12 253080.0 272224.0 193760 309728 49949.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036352 12 253029.3 271456.0 193792 309408 49863.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2361216 12 196768.0 215360.0 145216 245120 43380.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035552 12 252962.7 271632.0 194272 309792 49816.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035776 12 252981.3 271536.0 193408 309312 49900.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036064 12 253005.3 271680.0 193728 309344 49826.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036736 12 253061.3 272032.0 193344 309952 49801.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035904 12 252992.0 271488.0 193696 309440 49836.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037920 12 253160.0 272672.0 193600 310240 50121.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034912 12 252909.3 272240.0 193472 309184 49857.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038272 12 253189.3 272256.0 193504 309760 49695.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036672 12 253056.0 271504.0 194400 308864 49559.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3039136 12 253261.3 272224.0 193664 309536 49902.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038688 12 253224.0 271680.0 194240 309632 49691.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035584 12 252965.3 271984.0 193760 309760 49916.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037920 12 253160.0 271952.0 193792 309472 50019.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2361792 12 196816.0 215728.0 145632 245280 43142.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036352 12 253029.3 272704.0 193664 309472 49850.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034112 12 252842.7 271600.0 193984 309088 49618.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035616 12 252968.0 271920.0 193632 309472 49822.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034272 12 252856.0 271904.0 193984 309504 49885.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036832 12 253069.3 271456.0 194016 309600 49856.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2361664 12 196805.3 215600.0 145792 244480 43102.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3039232 12 253269.3 272736.0 194144 310176 50044.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036704 12 253058.7 272016.0 193600 309728 49819.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037792 12 253149.3 272416.0 193824 309088 49554.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038944 12 253245.3 272416.0 193792 309408 49827.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034656 12 252888.0 271632.0 194016 309536 49913.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
