8.4 20916832 12 1743069.3 520912.0 202048 8953536 2618067.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20844672 12 1737056.0 518912.0 201632 8951904 2615703.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6.8 15882048 12 1323504.0 409936.0 153024 6707872 1960217.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20646112 12 1720509.3 516096.0 197504 8946112 2622985.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20950848 12 1745904.0 518800.0 200256 8964960 2621874.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.6 20941408 12 1745117.3 522432.0 199520 8956960 2618793.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20883904 12 1740325.3 523120.0 201248 8954592 2617636.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20894112 12 1741176.0 518992.0 201408 8933920 2614298.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.1 20908064 12 1742338.7 522768.0 200896 8944896 2616222.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20944672 12 1745389.3 519968.0 200352 8944928 2617061.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20916352 12 1743029.3 519440.0 202176 8950400 2617036.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20894624 12 1741218.7 518592.0 200576 8950880 2617811.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20944864 12 1745405.3 520768.0 201120 8959168 2619871.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20908960 12 1742413.3 520032.0 200288 8952096 2617675.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20882368 12 1740197.3 517248.0 201408 8945280 2616457.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.6 20935072 12 1744589.3 523232.0 201376 8943264 2616141.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20894880 12 1741240.0 517552.0 200704 8938208 2614346.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
