1,0 11.070.688 2 5.535.344,0 5.535.344,0 5.513.856 5.556.832 30.388,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.035.808 2 5.517.904,0 5.517.904,0 5.509.472 5.526.336 11.924,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.032.736 2 5.516.368,0 5.516.368,0 5.512.224 5.520.512 5.860,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.207.360 2 5.603.680,0 5.603.680,0 5.574.240 5.633.120 41.634,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.042.752 2 5.521.376,0 5.521.376,0 5.508.608 5.534.144 18.056,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.031.680 2 5.515.840,0 5.515.840,0 5.512.576 5.519.104 4.616,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.054.016 2 6.527.008,0 6.527.008,0 5.567.584 7.486.432 1.356.830,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.027.584 2 6.513.792,0 6.513.792,0 5.577.568 7.450.016 1.324.020,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.713.312 2 5.856.656,0 5.856.656,0 5.573.664 6.139.648 400.211,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 14.889.696 2 7.444.848,0 7.444.848,0 7.427.840 7.461.856 24.052,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.039.296 2 5.519.648,0 5.519.648,0 5.509.504 5.529.792 14.345,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.773.120 2 7.386.560,0 7.386.560,0 7.341.504 7.431.616 63.718,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.105.248 2 5.552.624,0 5.552.624,0 5.549.888 5.555.360 3.869,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.791.808 2 7.395.904,0 7.395.904,0 7.335.232 7.456.576 85.803,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.025.536 2 5.512.768,0 5.512.768,0 5.512.416 5.513.120 497,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.967.968 2 6.483.984,0 6.483.984,0 5.573.952 7.394.016 1.286.979,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.908.000 2 6.454.000,0 6.454.000,0 5.553.920 7.354.080 1.272.905,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.032.352 2 5.516.176,0 5.516.176,0 5.507.424 5.524.928 12.377,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.050.016 2 5.525.008,0 5.525.008,0 5.520.064 5.529.952 6.991,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.027.360 2 5.513.680,0 5.513.680,0 5.511.424 5.515.936 3.190,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.051.136 2 5.525.568,0 5.525.568,0 5.523.776 5.527.360 2.534,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.904.704 2 7.452.352,0 7.452.352,0 7.448.608 7.456.096 5.294,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.012.800 2 6.506.400,0 6.506.400,0 5.555.520 7.457.280 1.344.747,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.903.360 2 6.451.680,0 6.451.680,0 5.576.960 7.326.400 1.237.040,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.028.128 2 5.514.064,0 5.514.064,0 5.512.928 5.515.200 1.606,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.100.864 2 5.550.432,0 5.550.432,0 5.511.360 5.589.504 55.256,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.043.584 2 6.521.792,0 6.521.792,0 5.568.352 7.475.232 1.348.367,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.028.832 2 5.514.416,0 5.514.416,0 5.509.312 5.519.520 7.218,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
