1,0 874.615.392 6.000 145.769,0 145.536,0 143.904 345.920 5.544,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.818.080 6.000 145.969,0 145.632,0 144.256 350.336 6.717,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.894.048 6.000 145.982,0 145.792,0 144.512 335.168 5.018,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.326.336 6.000 146.221,0 145.792,0 143.424 344.544 7.020,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.025.088 6.000 146.504,0 146.272,0 144.800 339.456 5.995,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.362.784 6.000 145.893,0 145.696,0 144.000 334.304 4.987,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.294.976 6.000 144.715,0 144.160,0 142.496 346.208 9.336,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.842.816 6.000 145.807,0 145.536,0 144.320 339.936 5.633,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.921.856 6.000 145.987,0 145.728,0 144.320 353.696 6.070,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.504.576 6.000 145.750,0 145.536,0 144.160 347.200 5.022,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.501.472 6.000 146.083,0 145.824,0 144.352 339.680 5.603,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.618.336 6.000 145.769,0 145.280,0 144.128 348.096 8.635,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.104.512 6.000 146.017,0 145.728,0 144.448 343.456 6.523,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.012.576 6.000 145.835,0 145.600,0 144.288 333.984 5.480,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.672.576 6.000 145.945,0 145.664,0 144.288 342.720 6.514,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 881.482.432 6.000 146.913,0 145.440,0 144.192 338.432 16.039,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.548.704 6.000 145.924,0 145.600,0 144.192 345.472 6.199,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.520.416 6.000 145.753,0 145.536,0 143.776 337.792 5.076,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.126.976 6.000 145.687,0 145.504,0 144.160 332.800 5.028,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
