0,0 18.720 2 9.360,0 9.360,0 8.096 10.624 1.787,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.264 2 9.632,0 9.632,0 7.968 11.296 2.353,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.352 2 10.176,0 10.176,0 8.608 11.744 2.217,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.520 2 9.760,0 9.760,0 8.992 10.528 1.086,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.552 2 9.776,0 9.776,0 8.320 11.232 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.000 2 8.000,0 8.000,0 7.168 8.832 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.320 2 8.160,0 8.160,0 7.392 8.928 1.086,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.040 2 9.520,0 9.520,0 8.384 10.656 1.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.648 2 9.824,0 9.824,0 8.864 10.784 1.357,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.808 2 9.904,0 9.904,0 8.160 11.648 2.466,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.168 2 9.584,0 9.584,0 8.064 11.104 2.149,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.656 2 9.328,0 9.328,0 8.128 10.528 1.697,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.160 2 10.080,0 10.080,0 8.192 11.968 2.670,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.568 2 10.784,0 10.784,0 10.240 11.328 769,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.904 2 9.952,0 9.952,0 9.152 10.752 1.131,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.808 2 9.904,0 9.904,0 9.152 10.656 1.063,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.104 2 7.552,0 7.552,0 6.432 8.672 1.583,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.416 2 10.208,0 10.208,0 8.704 11.712 2.127,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.624 2 9.312,0 9.312,0 8.000 10.624 1.855,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.248 2 10.624,0 10.624,0 10.112 11.136 724,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.880 2 9.440,0 9.440,0 8.192 10.688 1.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.592 2 5.296,0 5.296,0 4.224 6.368 1.516,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.880 2 9.440,0 9.440,0 8.064 10.816 1.946,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.776 2 9.888,0 9.888,0 8.832 10.944 1.493,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.584 2 9.792,0 9.792,0 8.640 10.944 1.629,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.176 2 7.088,0 7.088,0 5.856 8.320 1.742,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.672 2 10.336,0 10.336,0 8.864 11.808 2.081,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.072 2 9.536,0 9.536,0 8.096 10.976 2.036,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.752 2 9.376,0 9.376,0 8.256 10.496 1.583,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.680 2 9.840,0 9.840,0 8.096 11.584 2.466,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.096 2 10.048,0 10.048,0 9.216 10.880 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.200 2 9.600,0 9.600,0 8.064 11.136 2.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.936 2 9.968,0 9.968,0 8.672 11.264 1.832,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.624 2 9.312,0 9.312,0 8.064 10.560 1.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.928 2 10.464,0 10.464,0 10.080 10.848 543,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.584 2 9.792,0 9.792,0 8.640 10.944 1.629,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.880 2 9.440,0 9.440,0 8.224 10.656 1.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.840 2 9.920,0 9.920,0 8.064 11.776 2.624,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.168 2 9.584,0 9.584,0 8.320 10.848 1.787,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.720 2 9.360,0 9.360,0 8.064 10.656 1.832,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.056 2 10.528,0 10.528,0 9.920 11.136 859,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.360 2 9.680,0 9.680,0 8.672 10.688 1.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.616 2 9.808,0 9.808,0 8.896 10.720 1.289,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.720 2 5.360,0 5.360,0 4.288 6.432 1.516,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.624 2 9.312,0 9.312,0 8.096 10.528 1.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.976 2 9.488,0 9.488,0 8.032 10.944 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.776 2 9.888,0 9.888,0 8.160 11.616 2.443,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
