40,0 49.862.784 100 498.627,0 340.048,0 318.784 3.138.688 550.706,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
42,0 42.345.760 100 423.457,0 312.512,0 309.408 2.088.576 372.896,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
39,0 38.185.312 100 381.853,0 394.960,0 318.624 446.880 28.889,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
41,0 67.344.736 100 673.447,0 739.488,0 352.640 888.064 155.102,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
37,0 31.010.144 100 310.101,0 309.696,0 307.264 355.520 4.752,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
42,0 73.134.240 100 731.342,0 725.024,0 703.648 830.144 21.583,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
41,0 31.319.104 100 313.191,0 311.888,0 308.448 375.552 7.028,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
39,0 50.843.808 100 508.438,0 372.976,0 365.504 1.356.640 324.690,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
38,0 57.034.464 100 570.344,0 324.944,0 316.128 4.103.712 806.816,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
40,0 39.590.240 100 395.902,0 395.552,0 392.896 442.624 4.893,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
38,0 31.966.048 100 319.660,0 319.184,0 316.800 369.792 5.201,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
39,0 34.849.088 100 348.490,0 356.448,0 315.776 365.504 16.271,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
40,0 36.498.816 100 364.988,0 311.072,0 306.720 2.002.176 245.994,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
