1,0 7.380.672 100 73.806,0 75.168,0 55.168 81.088 4.997,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.968.160 100 69.681,0 74.368,0 47.072 81.376 9.666,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.084.608 100 60.846,0 60.848,0 38.816 83.872 13.129,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.969.824 100 69.698,0 73.008,0 49.280 74.848 8.234,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.274.144 100 62.741,0 72.368,0 46.496 81.216 12.246,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.275.328 100 62.753,0 70.384,0 45.440 81.248 11.422,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.483.648 100 64.836,0 74.192,0 48.544 80.224 13.431,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.865.376 100 58.653,0 56.496,0 39.808 81.184 14.384,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.557.344 100 55.573,0 48.608,0 44.704 80.448 11.981,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.102.304 100 61.023,0 57.200,0 47.104 84.256 12.603,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.867.168 100 58.671,0 48.384,0 46.784 83.360 12.288,0 CUDA_KERNEL prepare(long, float *, float *, float *)
