4,0 19.451.968 200 97.259,0 83.312,0 22.464 235.136 74.232,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.256.576 200 101.282,0 83.456,0 22.528 235.232 75.497,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.033.632 200 100.168,0 83.872,0 22.656 235.200 74.783,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.930.880 200 114.654,0 96.752,0 27.296 234.976 84.686,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.725.792 200 113.629,0 92.528,0 26.080 235.520 83.804,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.642.976 200 138.214,0 137.264,0 42.496 235.328 95.596,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 14.263.648 200 71.318,0 71.008,0 21.696 121.728 49.306,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.638.176 200 118.190,0 97.408,0 27.584 235.104 86.521,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.241.280 200 101.206,0 93.632,0 26.176 235.648 74.825,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.556.160 200 112.780,0 96.832,0 27.328 235.936 83.454,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 25.668.864 200 128.344,0 95.008,0 26.592 235.616 91.897,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.189.152 200 100.945,0 83.568,0 22.432 234.912 76.022,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.178.848 200 110.894,0 93.024,0 26.336 235.616 82.225,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.110.144 200 115.550,0 96.960,0 27.424 236.224 85.208,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.401.216 200 107.006,0 97.136,0 27.264 234.976 79.270,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 26.828.256 200 134.141,0 97.648,0 27.552 235.520 94.002,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.985.280 200 109.926,0 92.256,0 25.792 236.416 81.665,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.727.424 200 108.637,0 83.888,0 22.624 234.944 81.763,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.598.592 200 117.993,0 97.168,0 27.296 235.712 86.817,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3,0 14.282.624 200 71.413,0 71.008,0 21.856 122.144 49.243,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.713.248 200 138.566,0 138.176,0 43.008 235.840 95.423,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.669.568 200 138.347,0 137.936,0 42.496 235.424 95.664,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.286.432 200 136.432,0 98.368,0 27.520 236.480 94.994,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.699.136 200 138.495,0 138.256,0 42.784 235.808 95.619,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.903.872 200 99.519,0 78.912,0 22.688 175.744 69.627,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.054.240 200 115.271,0 96.864,0 27.488 235.520 84.954,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.877.696 200 124.388,0 96.832,0 27.296 236.000 90.276,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.232.128 200 111.160,0 83.696,0 22.336 235.680 83.786,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.701.888 200 118.509,0 96.608,0 27.424 234.816 86.740,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 23.023.200 200 115.116,0 96.544,0 27.232 235.584 84.984,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.817.472 200 124.087,0 97.968,0 27.424 235.744 89.942,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.112.832 200 105.564,0 83.872,0 22.496 235.104 80.119,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.090.432 200 110.452,0 97.312,0 27.424 236.800 81.740,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.218.176 200 101.090,0 91.728,0 25.664 235.712 75.432,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.377.760 200 111.888,0 108.544,0 32.064 234.592 79.384,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.165.600 200 100.828,0 82.112,0 22.112 235.168 75.050,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.218.368 200 111.091,0 92.608,0 25.824 236.096 82.491,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.057.184 200 110.285,0 96.272,0 27.072 235.968 81.879,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.710.016 200 138.550,0 138.096,0 42.784 236.512 95.718,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.807.552 200 104.037,0 83.840,0 22.688 235.360 79.053,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.732.928 200 138.664,0 138.304,0 42.816 236.352 95.764,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 22.859.680 200 114.298,0 96.368,0 27.104 235.616 84.610,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.309.184 200 106.545,0 83.536,0 22.496 235.904 80.808,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.586.400 200 97.932,0 83.104,0 22.432 235.456 74.188,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.356.736 200 96.783,0 83.872,0 22.656 234.464 73.518,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 24.080.192 200 120.401,0 97.088,0 27.264 235.296 88.144,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.726.016 200 138.630,0 137.344,0 43.072 235.776 95.544,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.107.264 200 105.536,0 92.944,0 26.112 236.256 78.015,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.529.632 200 97.648,0 83.904,0 22.688 235.008 74.349,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.676.064 200 138.380,0 137.808,0 42.944 234.880 95.357,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.407.264 200 122.036,0 97.232,0 27.520 235.520 88.706,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.746.688 200 108.733,0 81.136,0 21.728 236.736 81.739,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.199.840 200 110.999,0 84.096,0 22.496 234.720 82.459,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.409.984 200 112.049,0 97.088,0 27.488 235.104 82.669,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.140.992 200 115.705,0 91.440,0 24.928 236.320 85.589,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.160.960 200 120.804,0 96.304,0 27.040 235.552 88.375,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.638.336 200 138.191,0 137.056,0 42.496 235.296 95.670,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.286.144 200 116.430,0 84.448,0 22.720 235.616 86.002,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 25.091.264 200 125.456,0 97.424,0 27.584 235.488 90.447,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.239.296 200 106.196,0 83.920,0 22.592 234.624 80.375,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 21.977.920 200 109.889,0 83.600,0 22.528 235.104 82.753,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 22.709.472 200 113.547,0 84.048,0 22.752 235.296 84.454,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.603.616 200 138.018,0 108.656,0 27.584 235.808 95.576,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.909.952 200 104.549,0 92.240,0 26.016 234.848 77.932,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.040.768 200 135.203,0 98.224,0 27.584 235.872 94.431,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 25.577.216 200 127.886,0 97.504,0 27.552 235.872 91.598,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.970.624 200 114.853,0 83.904,0 22.432 235.200 84.899,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 25.556.352 200 127.781,0 80.592,0 21.504 236.352 93.247,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.534.112 200 117.670,0 107.968,0 27.360 235.680 86.221,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.171.200 200 120.856,0 96.720,0 27.360 234.976 88.176,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.976.224 200 114.881,0 96.352,0 27.168 235.360 84.906,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
