2,0 90.848 2 45.424,0 45.424,0 41.184 49.664 5.996,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.144 2 45.072,0 45.072,0 41.152 48.992 5.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.784 2 45.392,0 45.392,0 41.600 49.184 5.362,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.624 2 45.312,0 45.312,0 41.120 49.504 5.928,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.432 2 45.216,0 45.216,0 41.536 48.896 5.204,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.488 2 45.744,0 45.744,0 41.472 50.016 6.041,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.688 2 45.344,0 45.344,0 41.696 48.992 5.159,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.880 2 45.440,0 45.440,0 41.632 49.248 5.385,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.848 2 45.424,0 45.424,0 42.016 48.832 4.819,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.944 2 45.472,0 45.472,0 41.856 49.088 5.113,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.944 2 45.472,0 45.472,0 41.120 49.824 6.154,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.080 2 45.040,0 45.040,0 41.312 48.768 5.272,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.296 2 45.648,0 45.648,0 41.952 49.344 5.226,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.848 2 45.424,0 45.424,0 41.152 49.696 6.041,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.784 2 45.392,0 45.392,0 41.152 49.632 5.996,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.848 2 45.424,0 45.424,0 41.120 49.728 6.086,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.464 2 45.232,0 45.232,0 41.024 49.440 5.951,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.912 2 45.456,0 45.456,0 41.600 49.312 5.453,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.176 2 45.088,0 45.088,0 41.280 48.896 5.385,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.528 2 45.264,0 45.264,0 41.120 49.408 5.860,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.528 2 45.264,0 45.264,0 41.248 49.280 5.679,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.112 2 45.056,0 45.056,0 41.184 48.928 5.475,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.592 2 45.296,0 45.296,0 41.440 49.152 5.453,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.816 2 45.408,0 45.408,0 41.472 49.344 5.566,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.040 2 45.520,0 45.520,0 42.080 48.960 4.864,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.304 2 45.152,0 45.152,0 41.184 49.120 5.611,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.816 2 45.408,0 45.408,0 41.408 49.408 5.656,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.456 2 45.728,0 45.728,0 41.440 50.016 6.064,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.304 2 45.152,0 45.152,0 41.568 48.736 5.068,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.464 2 45.232,0 45.232,0 41.600 48.864 5.136,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.816 2 45.408,0 45.408,0 41.184 49.632 5.973,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 92.704 2 46.352,0 46.352,0 41.536 51.168 6.810,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.560 2 45.280,0 45.280,0 41.152 49.408 5.837,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
