      2,0        8.313.600        128      64.950,0      67.376,0     61.248       71.296       3.041,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       62.475.360        127     491.932,0     341.792,0      3.872   3.257.792     505.137,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.408.192        127      58.332,0      54.112,0     34.752     105.088      19.602,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.229.312        128      33.041,0      34.032,0     31.136      35.872       1.584,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       81.057.216        127     638.245,0     474.496,0      6.240    1.892.640     583.300,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0       10.959.840        127      86.298,0      80.512,0     51.936      150.848      28.850,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.251.808        128      48.842,0      50.048,0     46.720       52.832       1.706,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       64.311.808        127     506.392,0     348.672,0      3.840   3.388.608     560.420,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.399.008        127      58.259,0      54.176,0     34.592     105.280      19.574,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.228.928        128      33.038,0      33.584,0     31.136      35.936       1.553,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       59.331.072        127     467.173,0     320.192,0      3.840   1.413.792     434.736,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.392.544        127      58.209,0      53.952,0     34.784     104.672      19.625,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.215.040        128      32.930,0      33.792,0     31.168      35.904       1.414,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       81.037.504        127     638.090,0     444.864,0      6.304    1.908.064     584.510,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.953.600        127      86.248,0      80.512,0     51.520      151.840      28.932,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.240.000        128      48.750,0      49.568,0     46.688       52.160       1.737,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       80.107.328        127     630.766,0     453.344,0      5.152    1.901.952     581.587,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0       10.827.520        127      85.256,0      80.096,0     44.000      151.328      29.980,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.117.120        128      47.790,0      49.472,0     38.976       52.288       3.143,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       60.164.896        127     473.739,0     348.448,0      3.840   1.421.696     438.593,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.394.752        127      58.226,0      53.632,0     34.464     104.480      19.610,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.239.520        128      33.121,0      33.824,0     31.168      35.680       1.459,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       80.751.680        127     635.840,0     457.536,0      6.304    1.909.376     581.371,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0       10.969.664        127      86.375,0      80.384,0     51.808      151.424      28.895,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.236.896        128      48.725,0      48.544,0     46.720       52.128       1.685,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       59.330.688        127     467.170,0     324.384,0      4.480   1.402.272     434.797,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.391.168        127      58.198,0      54.176,0     34.592     105.056      19.703,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        4.235.296        128      33.088,0      33.600,0     31.136      35.840       1.480,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0       59.245.088        127     466.496,0     303.360,0      4.448   1.419.040     434.227,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        7.390.208        127      58.190,0      54.080,0     34.688     104.800      19.594,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
