2,0 8.396.096 128 65.594,0 66.928,0 62.304 70.752 2.626,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.337.504 128 65.136,0 65.648,0 61.184 70.528 2.988,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.407.168 128 65.681,0 66.736,0 62.304 70.720 2.501,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.389.920 128 65.546,0 65.744,0 62.368 70.560 2.663,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.298.496 128 64.832,0 64.992,0 61.248 69.984 3.051,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.303.552 128 64.871,0 64.416,0 61.216 70.848 3.156,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.406.752 128 65.677,0 66.800,0 62.304 71.136 2.769,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.363.968 128 65.343,0 65.632,0 62.272 70.240 2.727,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.281.312 128 64.697,0 63.392,0 61.216 69.952 2.925,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.381.952 128 65.484,0 64.880,0 62.272 70.272 2.603,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.404.576 128 65.660,0 67.568,0 62.304 70.688 2.607,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.302.624 128 64.864,0 64.656,0 61.184 70.592 2.994,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.403.232 128 65.650,0 66.944,0 62.272 70.752 2.669,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.320.160 128 65.001,0 64.320,0 61.184 69.920 3.219,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.378.464 128 65.456,0 67.296,0 62.304 70.176 2.551,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.390.752 128 65.552,0 66.048,0 62.304 70.944 2.674,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.334.368 128 65.112,0 66.640,0 61.216 70.048 3.119,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.404.608 128 65.661,0 66.080,0 62.304 71.008 2.605,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.300.768 128 64.849,0 64.464,0 61.184 70.464 3.172,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.291.552 128 64.777,0 63.760,0 61.216 69.984 3.163,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.276.800 128 64.662,0 63.472,0 61.248 71.008 2.924,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.401.952 128 65.640,0 67.712,0 62.272 69.952 2.674,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.378.592 128 65.457,0 65.456,0 62.240 70.464 2.656,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.368.928 128 65.382,0 67.536,0 61.184 70.560 2.882,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.410.080 128 65.703,0 67.584,0 62.304 70.240 2.626,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.390.656 128 65.552,0 65.056,0 62.272 70.144 2.565,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.407.584 128 65.684,0 67.296,0 62.272 70.720 2.704,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.334.112 128 65.110,0 66.304,0 61.216 71.232 3.110,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.390.816 128 65.553,0 65.584,0 62.272 71.168 2.537,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.329.984 128 65.078,0 66.384,0 61.184 70.560 3.144,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.286.432 128 64.737,0 65.040,0 61.248 70.976 3.020,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.358.656 128 65.302,0 66.608,0 61.152 70.720 3.011,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.393.696 128 65.575,0 66.064,0 62.304 70.464 2.532,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.394.912 128 65.585,0 67.200,0 62.304 70.304 2.867,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.404.768 128 65.662,0 66.816,0 62.304 71.168 2.619,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.309.312 128 64.916,0 64.912,0 61.248 71.328 3.082,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.379.776 128 65.467,0 66.736,0 62.304 70.496 2.478,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.430.016 128 65.859,0 67.776,0 62.304 70.240 2.587,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.404.448 128 65.659,0 66.896,0 62.272 70.208 2.579,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.387.552 128 65.527,0 64.896,0 62.304 70.560 2.654,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.397.984 128 65.609,0 65.264,0 62.272 71.136 2.588,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.295.040 128 64.805,0 65.888,0 61.184 70.688 2.861,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.377.824 128 65.451,0 64.496,0 62.304 70.656 2.652,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.416.608 128 65.754,0 67.776,0 62.272 70.592 2.689,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.399.296 128 65.619,0 67.376,0 62.304 70.336 2.677,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.386.304 128 65.518,0 65.376,0 62.304 70.560 2.502,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.343.520 128 65.183,0 66.768,0 61.280 71.264 3.036,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.283.424 128 64.714,0 65.856,0 61.184 70.720 2.923,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.393.344 128 65.573,0 67.328,0 62.304 70.336 2.651,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.408.064 128 65.688,0 66.976,0 62.272 71.008 2.640,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.369.888 128 65.389,0 66.496,0 61.280 71.232 2.933,0 CUDA_KERNEL lud_diagonal(float *, int, int)
