      0,0           50.048          1      50.048,0   50.048,0    50.048       50.048           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           50.528          1      50.528,0   50.528,0    50.528       50.528            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           50.304          1      50.304,0   50.304,0    50.304       50.304           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.408          1      69.408,0   69.408,0    69.408       69.408            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.448          1      68.448,0   68.448,0    68.448       68.448            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.448          1      68.448,0   68.448,0    68.448       68.448            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           66.560          1      66.560,0   66.560,0    66.560       66.560            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.448          1      68.448,0   68.448,0    68.448       68.448            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.280          1      69.280,0   69.280,0    69.280       69.280            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.608          1      68.608,0   68.608,0    68.608       68.608            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.736          1      68.736,0   68.736,0    68.736       68.736            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.896          1      68.896,0   68.896,0    68.896       68.896            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.448          1      68.448,0   68.448,0    68.448       68.448            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.088          1      69.088,0   69.088,0    69.088       69.088            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.896          1      68.896,0   68.896,0    68.896       68.896            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.200          1      67.200,0   67.200,0    67.200       67.200            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.160          1      68.160,0   68.160,0    68.160       68.160            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.600          1      69.600,0   69.600,0    69.600       69.600            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.408          1      69.408,0   69.408,0    69.408       69.408            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.928          1      68.928,0   68.928,0    68.928       68.928            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.392          1      67.392,0   67.392,0    67.392       67.392            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.840          1      67.840,0   67.840,0    67.840       67.840            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.552          1      67.552,0   67.552,0    67.552       67.552            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.928          1      68.928,0   68.928,0    68.928       68.928            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
