41,0 960.913.568 10 96.091.356,0 92.309.200,0 86.922.944 129.802.432 12.215.151,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 935.096.832 10 93.509.683,0 92.119.472,0 86.856.064 101.167.136 4.184.996,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
41,0 960.582.528 10 96.058.252,0 92.176.624,0 86.823.968 132.417.920 13.008.768,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.540.159.456 10 154.015.945,0 160.200.800,0 95.154.048 197.171.360 38.802.874,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 926.341.856 10 92.634.185,0 91.889.312,0 86.933.088 99.119.072 3.624.916,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 1.242.264.224 10 124.226.422,0 110.723.968,0 90.454.592 191.995.808 36.167.129,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
41,0 971.838.560 10 97.183.856,0 93.548.800,0 86.832.064 135.391.424 13.811.150,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 984.667.968 10 98.466.796,0 95.360.928,0 86.824.640 122.330.336 10.252.211,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.480.231.712 10 148.023.171,0 147.204.576,0 127.921.152 162.951.200 10.713.321,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 923.289.216 10 92.328.921,0 91.699.232,0 86.820.032 98.580.064 3.317.330,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 922.927.936 10 92.292.793,0 91.774.544,0 86.865.536 98.617.696 3.429.547,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 919.231.328 10 91.923.132,0 91.698.400,0 86.770.752 98.498.688 3.224.455,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.043.072.416 10 104.307.241,0 92.461.104,0 86.698.976 175.112.896 27.825.845,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
