     36.2       1191852800       3900     305603.3     290256.0     253536     443680      45851.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.5       1156228640       3900     296468.9     264832.0     253856     441632      44713.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1179982112       3900     302559.5     268768.0     253824     443456      45728.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.8       1155077440       3900     296173.7     270352.0     172704     456128      58575.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1324689984       3900     339664.1     346272.0     254080     432608      31727.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1367954368       3900     350757.5     346464.0     337984     428960      11122.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1157561920       3900     296810.7     264976.0     254016     432640      44725.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.4       1357584320       3900     348098.5     346432.0     254336     442944      19202.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.7       1126843200       3900     288934.2     261168.0     203360     432576      49384.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1153700896       3900     295820.7     264576.0     254432     430400      44547.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.1       1157175488       3900     296711.7     264928.0     254144     431680      44742.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.0       1368199328       3900     350820.3     346480.0     338912     430976      11107.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33.9       1134621248       3900     290928.5     261664.0     253632     450176      43205.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.7       1319588064       3900     338355.9     346336.0     253984     459136      33270.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.0       1192907328       3900     305873.7     291760.0     253920     429056      45858.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.0       1283604896       3900     329129.5     346144.0     254176     430752      40267.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.3       1267656224       3900     325040.1     346304.0     172608     409152      62204.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.7       1187301856       3900     304436.4     270144.0     254656     455648      46003.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33.6       1274313504       3900     326747.1     345920.0     253568     432160      41533.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1267562016       3900     325015.9     345920.0     253888     432128      42464.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.2       1367890432       3900     350741.1     346432.0     338816     431296      11110.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.6       1368195392       3900     350819.3     346528.0     339008     482528      11287.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.0       1185301216       3900     303923.4     269600.0     253888     460128      45901.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.5       1206487936       3900     309355.9     345856.0     181024     435136      54352.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1257703328       3900     322488.0     346144.0     253920     432096      43398.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.2       1302655424       3900     334014.2     346080.0     253952     432480      37025.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.5       1274550144       3900     326807.7     345984.0     253856     429632      41532.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1126866880       3900     288940.2     260480.0     254688     432800      42124.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
