1,0 1.656.888.736 6.000 276.148,0 275.168,0 272.416 653.664 13.147,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.678.587.904 6.000 279.764,0 279.040,0 277.088 1.362.528 19.520,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.531.744 6.000 278.755,0 278.400,0 276.352 653.120 9.891,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.476.896 6.000 278.746,0 278.496,0 276.416 653.984 8.754,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.225.568 6.000 275.704,0 275.328,0 272.352 655.104 11.001,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.200.704 6.000 279.533,0 278.944,0 276.928 652.480 11.290,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.822.880 6.000 275.303,0 274.976,0 272.288 653.408 9.887,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.859.840 6.000 279.143,0 278.720,0 276.640 664.160 11.127,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.679.919.872 6.000 279.986,0 278.848,0 276.736 662.592 19.158,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.908.768 6.000 279.484,0 279.072,0 274.560 655.456 10.931,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
