0,0 25.472 2 12.736,0 12.736,0 8.928 16.544 5.385,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.880 2 13.440,0 13.440,0 8.320 18.560 7.240,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.568 2 12.784,0 12.784,0 8.192 17.376 6.494,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.960 2 12.480,0 12.480,0 8.256 16.704 5.973,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.312 2 12.656,0 12.656,0 8.224 17.088 6.267,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.088 2 12.544,0 12.544,0 8.224 16.864 6.109,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.768 2 12.384,0 12.384,0 8.224 16.544 5.883,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.664 2 12.832,0 12.832,0 8.928 16.736 5.521,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.216 2 12.608,0 12.608,0 8.288 16.928 6.109,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.944 2 13.472,0 13.472,0 8.672 18.272 6.788,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.152 2 12.576,0 12.576,0 8.512 16.640 5.747,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 27.008 2 13.504,0 13.504,0 8.896 18.112 6.516,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.752 2 13.376,0 13.376,0 9.216 17.536 5.883,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.720 2 13.360,0 13.360,0 9.376 17.344 5.634,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.016 2 13.008,0 13.008,0 8.256 17.760 6.720,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.144 2 13.072,0 13.072,0 8.800 17.344 6.041,0 CUDA_KERNEL Fan1(float *, float *, int, int)
