27,0 2.834.496 1 2.834.496,0 2.834.496,0 2.834.496 2.834.496 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.776 1 2.835.776,0 2.835.776,0 2.835.776 2.835.776 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.834.176 1 2.834.176,0 2.834.176,0 2.834.176 2.834.176 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.835.168 1 2.835.168,0 2.835.168,0 2.835.168 2.835.168 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.836.288 1 2.836.288,0 2.836.288,0 2.836.288 2.836.288 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 2.835.008 1 2.835.008,0 2.835.008,0 2.835.008 2.835.008 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.836.544 1 2.836.544,0 2.836.544,0 2.836.544 2.836.544 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.888 1 2.833.888,0 2.833.888,0 2.833.888 2.833.888 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.836.384 1 2.836.384,0 2.836.384,0 2.836.384 2.836.384 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
24,0 2.836.512 1 2.836.512,0 2.836.512,0 2.836.512 2.836.512 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.831.776 1 2.831.776,0 2.831.776,0 2.831.776 2.831.776 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.832.896 1 2.832.896,0 2.832.896,0 2.832.896 2.832.896 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.836.576 1 2.836.576,0 2.836.576,0 2.836.576 2.836.576 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.888 1 2.833.888,0 2.833.888,0 2.833.888 2.833.888 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.136 1 2.835.136,0 2.835.136,0 2.835.136 2.835.136 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.835.520 1 2.835.520,0 2.835.520,0 2.835.520 2.835.520 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.832.992 1 2.832.992,0 2.832.992,0 2.832.992 2.832.992 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.856 1 2.833.856,0 2.833.856,0 2.833.856 2.833.856 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.831.584 1 2.831.584,0 2.831.584,0 2.831.584 2.831.584 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.836.256 1 2.836.256,0 2.836.256,0 2.836.256 2.836.256 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.838.240 1 2.838.240,0 2.838.240,0 2.838.240 2.838.240 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.834.560 1 2.834.560,0 2.834.560,0 2.834.560 2.834.560 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
