0.0 67680 8 8460.0 8240.0 7840 10304 761.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68800 8 8600.0 8368.0 7872 10272 738.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 67936 8 8492.0 8304.0 7808 10336 764.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70176 8 8772.0 8272.0 8192 11328 1097.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69952 8 8744.0 8560.0 7936 10752 857.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68576 8 8572.0 8320.0 7936 10304 812.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69536 8 8692.0 8384.0 8160 10400 738.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68704 8 8588.0 8304.0 8032 10368 767.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70272 8 8784.0 8704.0 8096 10336 733.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68352 8 8544.0 8304.0 8128 10368 746.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 36128 8 4516.0 4224.0 3968 5856 646.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68704 8 8588.0 8384.0 8000 10368 750.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69568 8 8696.0 8496.0 8096 10400 738.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 67296 8 8412.0 8224.0 7776 10336 795.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68640 8 8580.0 8400.0 7840 10336 759.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70112 8 8764.0 8432.0 7968 10464 838.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
