1,0 3.275.968 12 272.997,0 304.464,0 194.464 343.136 65.470,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.264.992 12 272.082,0 301.856,0 194.560 344.704 65.952,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.321.344 12 276.778,0 308.192,0 194.112 344.128 64.052,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.264.032 12 272.002,0 301.440,0 194.496 342.560 65.233,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.266.848 12 272.237,0 301.248,0 194.464 344.160 65.866,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.268.384 12 272.365,0 301.504,0 195.104 345.024 65.803,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.275.264 12 272.938,0 302.032,0 194.752 345.248 65.852,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.271.872 12 272.656,0 301.872,0 194.624 343.680 65.017,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.263.936 12 271.994,0 301.392,0 195.008 343.040 65.320,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.270.624 12 272.552,0 301.632,0 194.816 344.160 65.798,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.268.032 12 272.336,0 300.960,0 194.720 343.392 64.901,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.268.352 12 272.362,0 303.504,0 194.272 343.776 65.923,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.277.248 12 273.104,0 301.808,0 194.368 344.352 64.926,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.269.536 12 272.461,0 303.088,0 194.400 343.168 65.352,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.279.360 12 273.280,0 302.560,0 194.720 346.080 66.042,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.263.840 12 271.986,0 300.912,0 194.432 346.144 65.924,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.264.992 12 272.082,0 301.392,0 194.432 343.424 65.766,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.269.344 12 272.445,0 302.560,0 194.464 345.184 65.826,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.323.424 12 276.952,0 307.776,0 195.648 342.816 63.733,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.271.424 12 272.618,0 302.656,0 194.944 345.216 65.876,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.266.080 12 272.173,0 301.568,0 194.432 344.864 66.033,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
