3,0 3.833.120 12 319.426,0 312.256,0 300.672 349.248 19.718,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.837.440 12 319.786,0 313.488,0 300.448 348.416 19.112,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.837.376 12 319.781,0 314.736,0 299.648 349.088 19.428,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.823.296 12 318.608,0 311.632,0 299.744 347.648 19.775,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.836.288 12 319.690,0 312.704,0 300.512 348.768 19.248,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.827.072 12 318.922,0 313.168,0 299.424 348.224 19.297,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.832.832 12 319.402,0 312.928,0 299.904 349.984 20.152,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.831.360 12 319.280,0 312.736,0 300.320 349.440 20.059,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.834.336 12 319.528,0 312.608,0 300.352 349.408 19.855,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.835.744 12 319.645,0 313.568,0 299.200 350.080 20.616,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.845.568 12 320.464,0 313.536,0 301.664 349.312 19.273,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.839.744 12 319.978,0 313.200,0 301.696 348.800 18.555,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.824.416 12 318.701,0 313.136,0 282.464 349.760 21.316,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.352 12 319.029,0 313.136,0 301.504 345.600 17.764,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.960 12 319.080,0 312.704,0 299.552 350.432 19.737,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.835.424 12 319.618,0 312.240,0 299.552 349.472 20.304,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.859.488 12 321.624,0 313.872,0 304.960 349.760 18.343,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.866.944 12 322.245,0 315.936,0 303.776 349.696 17.501,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.833.952 12 319.496,0 313.216,0 299.936 350.272 19.634,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.836.320 12 319.693,0 312.864,0 300.992 349.600 19.531,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.192 12 319.016,0 312.384,0 300.096 347.360 19.241,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.842.400 12 320.200,0 314.432,0 302.336 348.128 18.605,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.832.384 12 319.365,0 312.480,0 300.032 349.280 20.107,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
