0.3 6595328 1023 6447.0 6496.0 3520 35776 2493.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6994176 1023 6836.9 6560.0 3552 34624 2869.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6588960 1023 6440.8 6496.0 3520 34528 2511.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6647904 1023 6498.4 6464.0 3520 35040 2625.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8557952 1023 8365.5 6592.0 3552 34784 4311.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6779008 1023 6626.6 6496.0 3552 35392 2807.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6533472 1023 6386.6 6496.0 3520 35200 2315.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6512192 1023 6365.8 6432.0 3552 37056 2518.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7174784 1023 7013.5 6464.0 3552 34848 3471.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6914336 1023 6758.9 6528.0 3520 34624 2840.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7039936 1023 6881.7 6528.0 3520 35424 2964.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6781920 1023 6629.4 6528.0 3520 34752 2689.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6966720 1023 6810.1 6368.0 3552 34464 3185.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 10871776 1023 10627.3 12704.0 4160 34208 4341.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7550912 1023 7381.1 6400.0 3488 35264 3852.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6671872 1023 6521.9 6464.0 3520 34304 2580.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7500128 1023 7331.5 6464.0 3488 34560 3487.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6988544 1023 6831.4 6528.0 3520 34624 2889.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6963712 1023 6807.1 6528.0 3520 35232 2851.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7421152 1023 7254.3 7712.0 3488 36544 2973.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6705440 1023 6554.7 6464.0 3520 34464 2766.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 8179776 1023 7995.9 7680.0 4128 34592 3162.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6827680 1023 6674.2 6144.0 3520 34848 3220.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6622464 1023 6473.6 6336.0 3488 34528 2895.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7591200 1023 7420.5 6368.0 3488 34432 3757.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7332288 1023 7167.4 6432.0 3520 34400 3426.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7543936 1023 7374.3 6528.0 3520 35296 3715.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7048128 1023 6889.7 6496.0 3488 34176 3035.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6499616 1023 6353.5 6496.0 3520 36160 2128.5 CUDA_KERNEL Fan1(float *, float *, int, int)
