1,0 1.421.916.320 2.000 710.958,0 705.952,0 703.488 1.903.520 39.352,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.415.831.264 2.000 707.915,0 705.632,0 703.488 1.902.016 39.148,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.441.945.024 2.000 720.972,0 714.752,0 711.328 1.903.296 64.892,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.238.432 2.000 716.619,0 714.336,0 709.280 1.902.048 38.880,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.436.059.584 2.000 718.029,0 714.848,0 710.336 1.901.504 45.016,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.671.680 2.000 717.335,0 714.592,0 711.104 1.901.440 44.198,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.422.416.992 2.000 711.208,0 705.696,0 703.392 1.902.080 56.774,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.420.112.736 2.000 710.056,0 705.504,0 703.616 1.903.104 42.717,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.875.776 2.000 716.937,0 714.656,0 710.368 1.904.608 41.249,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.288.672 2.000 709.144,0 705.600,0 703.584 1.903.296 39.965,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.636.832 2.000 719.318,0 714.560,0 710.464 1.902.496 56.435,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.133.760 2.000 717.566,0 714.576,0 710.048 1.903.040 46.614,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.439.005.504 2.000 719.502,0 714.528,0 709.568 4.749.728 100.977,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.421.603.168 2.000 710.801,0 705.472,0 703.584 1.902.560 51.992,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.293.952 2.000 717.647,0 714.624,0 710.016 1.902.752 46.647,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.378.784 2.000 709.189,0 705.664,0 703.456 1.902.848 37.016,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.441.518.208 2.000 720.759,0 714.720,0 711.040 4.283.008 96.326,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.348.384 2.000 716.674,0 714.976,0 711.008 1.903.712 35.166,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.432.545.088 2.000 716.272,0 714.592,0 710.912 1.901.856 35.156,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.432.620.224 2.000 716.310,0 714.624,0 710.432 1.902.400 35.050,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.641.248 2.000 717.320,0 714.688,0 709.824 1.902.336 42.942,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.202.848 2.000 717.601,0 714.944,0 710.528 1.903.072 44.060,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.436.759.168 2.000 718.379,0 714.528,0 704.896 2.261.312 58.148,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.420.301.824 2.000 710.150,0 705.728,0 703.616 1.903.072 50.069,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.448.624.864 2.000 724.312,0 715.008,0 710.944 1.902.592 80.182,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.352.480 2.000 719.176,0 714.784,0 710.656 1.902.176 55.868,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.823.456 2.000 717.411,0 714.656,0 710.752 1.903.072 44.179,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.555.616 2.000 717.277,0 714.816,0 710.976 1.902.944 41.809,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.423.222.912 2.000 711.611,0 706.176,0 703.552 1.901.760 39.422,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.436.077.920 2.000 718.039,0 714.880,0 710.688 1.902.080 46.857,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.437.932.800 2.000 718.966,0 714.944,0 710.464 1.902.432 53.740,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.419.723.680 2.000 709.861,0 705.888,0 703.360 1.903.712 47.469,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.421.026.304 2.000 710.513,0 705.888,0 703.680 1.903.072 39.239,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.436.356.192 2.000 718.178,0 714.752,0 710.784 1.903.136 49.305,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.569.600 2.000 717.784,0 714.656,0 710.400 2.730.880 59.227,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.111.968 2.000 717.556,0 715.040,0 710.976 1.902.784 41.586,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.584.672 2.000 709.292,0 705.920,0 703.392 1.903.264 39.700,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.441.222.272 2.000 720.611,0 715.136,0 710.944 3.206.464 77.566,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.441.152.608 2.000 720.576,0 715.104,0 710.464 1.903.296 63.183,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.135.200 2.000 719.067,0 715.200,0 710.816 1.902.816 43.455,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.427.295.584 2.000 713.647,0 705.600,0 703.616 3.974.112 90.004,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.470.720 2.000 716.735,0 714.560,0 710.880 1.902.848 38.591,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.439.696.064 2.000 719.848,0 714.848,0 710.112 1.902.048 59.981,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.067.328 2.000 717.033,0 714.720,0 711.552 2.624.352 53.109,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.838.176 2.000 719.419,0 714.400,0 710.816 4.779.392 109.040,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.437.813.312 2.000 718.906,0 715.040,0 710.688 2.215.296 62.529,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.480.864 2.000 716.740,0 714.784,0 710.688 1.902.432 38.360,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.422.179.168 2.000 711.089,0 705.728,0 703.456 2.163.616 51.775,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.421.715.872 2.000 710.857,0 705.600,0 703.520 4.352.960 90.497,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
